"행정구역","2021년02월_계_총인구수","2021년02월_계_연령구간인구수","2021년02월_계_20~29세","2021년02월_계_30~39세","2021년02월_계_40~49세","2021년02월_계_50~59세","2021년02월_계_60~69세","2021년02월_계_70~79세","2021년02월_남_총인구수","2021년02월_남_연령구간인구수","2021년02월_남_20~29세","2021년02월_남_30~39세","2021년02월_남_40~49세","2021년02월_남_50~59세","2021년02월_남_60~69세","2021년02월_남_70~79세","2021년02월_여_총인구수","2021년02월_여_연령구간인구수","2021년02월_여_20~29세","2021년02월_여_30~39세","2021년02월_여_40~49세","2021년02월_여_50~59세","2021년02월_여_60~69세","2021년02월_여_70~79세","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_남_총인구수","2021년03월_남_연령구간인구수","2021년03월_남_20~29세","2021년03월_남_30~39세","2021년03월_남_40~49세","2021년03월_남_50~59세","2021년03월_남_60~69세","2021년03월_남_70~79세","2021년03월_여_총인구수","2021년03월_여_연령구간인구수","2021년03월_여_20~29세","2021년03월_여_30~39세","2021년03월_여_40~49세","2021년03월_여_50~59세","2021년03월_여_60~69세","2021년03월_여_70~79세","2021년04월_계_총인구수","2021년04월_계_연령구간인구수","2021년04월_계_20~29세","2021년04월_계_30~39세","2021년04월_계_40~49세","2021년04월_계_50~59세","2021년04월_계_60~69세","2021년04월_계_70~79세","2021년04월_남_총인구수","2021년04월_남_연령구간인구수","2021년04월_남_20~29세","2021년04월_남_30~39세","2021년04월_남_40~49세","2021년04월_남_50~59세","2021년04월_남_60~69세","2021년04월_남_70~79세","2021년04월_여_총인구수","2021년04월_여_연령구간인구수","2021년04월_여_20~29세","2021년04월_여_30~39세","2021년04월_여_40~49세","2021년04월_여_50~59세","2021년04월_여_60~69세","2021년04월_여_70~79세","2021년05월_계_총인구수","2021년05월_계_연령구간인구수","2021년05월_계_20~29세","2021년05월_계_30~39세","2021년05월_계_40~49세","2021년05월_계_50~59세","2021년05월_계_60~69세","2021년05월_계_70~79세","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_20~29세","2021년06월_남_30~39세","2021년06월_남_40~49세","2021년06월_남_50~59세","2021년06월_남_60~69세","2021년06월_남_70~79세","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_20~29세","2021년06월_여_30~39세","2021년06월_여_40~49세","2021년06월_여_50~59세","2021년06월_여_60~69세","2021년06월_여_70~79세","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_남_총인구수","2021년07월_남_연령구간인구수","2021년07월_남_20~29세","2021년07월_남_30~39세","2021년07월_남_40~49세","2021년07월_남_50~59세","2021년07월_남_60~69세","2021년07월_남_70~79세","2021년07월_여_총인구수","2021년07월_여_연령구간인구수","2021년07월_여_20~29세","2021년07월_여_30~39세","2021년07월_여_40~49세","2021년07월_여_50~59세","2021년07월_여_60~69세","2021년07월_여_70~79세"
"대전광역시  (3000000000)","1,462,064","1,156,047","211,623","193,082","236,454","241,208","182,044","91,636","729,663","580,121","111,005","100,790","117,977","120,216","88,425","41,708","732,401","575,926","100,618","92,292","118,477","120,992","93,619","49,928","1,458,463","1,153,839","211,498","192,338","235,062","240,184","183,343","91,414","728,075","579,200","110,997","100,467","117,325","119,734","89,062","41,615","730,388","574,639","100,501","91,871","117,737","120,450","94,281","49,799","1,457,619","1,153,727","211,361","192,055","234,618","239,844","184,422","91,427","727,522","579,033","110,901","100,347","117,038","119,640","89,501","41,606","730,097","574,694","100,460","91,708","117,580","120,204","94,921","49,821","1,457,161","1,153,908","211,313","191,713","233,876","239,909","185,594","91,503","727,279","579,167","110,845","100,259","116,591","119,735","90,083","41,654","729,882","574,741","100,468","91,454","117,285","120,174","95,511","49,849","1,456,107","1,153,444","210,976","191,188","233,637","239,229","186,847","91,567","726,666","578,880","110,659","100,001","116,445","119,425","90,680","41,670","729,441","574,564","100,317","91,187","117,192","119,804","96,167","49,897","1,455,300","1,153,305","210,655","190,813","233,122","239,271","187,703","91,741","726,281","578,820","110,519","99,801","116,203","119,467","91,051","41,779","729,019","574,485","100,136","91,012","116,919","119,804","96,652","49,962"
"대전광역시 동구 (3011000000)","224,103","179,385","30,133","25,967","34,241","36,789","33,079","19,176","113,026","91,566","15,982","14,057","17,994","18,875","16,051","8,607","111,077","87,819","14,151","11,910","16,247","17,914","17,028","10,569","223,469","178,896","30,220","25,851","34,027","36,513","33,183","19,102","112,726","91,350","16,052","13,990","17,882","18,769","16,095","8,562","110,743","87,546","14,168","11,861","16,145","17,744","17,088","10,540","223,358","178,863","30,180","25,790","33,994","36,404","33,423","19,072","112,660","91,315","16,020","13,969","17,848","18,731","16,196","8,551","110,698","87,548","14,160","11,821","16,146","17,673","17,227","10,521","223,353","178,921","30,295","25,709","33,926","36,343","33,606","19,042","112,656","91,357","16,067","13,936","17,797","18,722","16,288","8,547","110,697","87,564","14,228","11,773","16,129","17,621","17,318","10,495","223,245","178,860","30,225","25,622","33,962","36,226","33,790","19,035","112,571","91,290","16,022","13,875","17,793","18,679","16,367","8,554","110,674","87,570","14,203","11,747","16,169","17,547","17,423","10,481","223,198","178,848","30,134","25,603","33,884","36,232","33,944","19,051","112,539","91,263","15,982","13,865","17,740","18,685","16,432","8,559","110,659","87,585","14,152","11,738","16,144","17,547","17,512","10,492"
"대전광역시 중구 (3014000000)","234,654","187,310","30,806","25,834","36,578","39,461","33,975","20,656","115,744","93,030","15,743","13,275","18,572","19,948","16,172","9,320","118,910","94,280","15,063","12,559","18,006","19,513","17,803","11,336","233,601","186,542","30,652","25,704","36,309","39,189","34,091","20,597","115,273","92,683","15,663","13,211","18,460","19,802","16,255","9,292","118,328","93,859","14,989","12,493","17,849","19,387","17,836","11,305","233,213","186,273","30,590","25,608","36,173","39,109","34,221","20,572","114,991","92,489","15,604","13,178","18,377","19,756","16,321","9,253","118,222","93,784","14,986","12,430","17,796","19,353","17,900","11,319","233,067","186,198","30,543","25,555","36,063","39,097","34,385","20,555","114,905","92,437","15,583","13,166","18,278","19,777","16,411","9,222","118,162","93,761","14,960","12,389","17,785","19,320","17,974","11,333","232,841","186,049","30,529","25,481","35,988","38,943","34,547","20,561","114,783","92,350","15,570","13,129","18,238","19,702","16,488","9,223","118,058","93,699","14,959","12,352","17,750","19,241","18,059","11,338","232,627","185,943","30,475","25,442","35,854","38,945","34,627","20,600","114,663","92,281","15,551","13,091","18,160","19,704","16,530","9,245","117,964","93,662","14,924","12,351","17,694","19,241","18,097","11,355"
"대전광역시 서구 (3017000000)","476,945","376,789","73,777","65,617","78,138","77,428","55,653","26,176","234,558","185,193","37,579","33,548","37,846","37,462","26,730","12,028","242,387","191,596","36,198","32,069","40,292","39,966","28,923","14,148","475,685","376,032","73,642","65,406","77,632","77,080","56,130","26,142","233,968","184,846","37,531","33,455","37,592","37,316","26,966","11,986","241,717","191,186","36,111","31,951","40,040","39,764","29,164","14,156","475,622","376,240","73,706","65,395","77,468","77,024","56,471","26,176","233,902","184,934","37,594","33,435","37,495","37,317","27,084","12,009","241,720","191,306","36,112","31,960","39,973","39,707","29,387","14,167","475,406","376,237","73,607","65,300","77,217","77,009","56,894","26,210","233,764","184,901","37,511","33,385","37,353","37,326","27,306","12,020","241,642","191,336","36,096","31,915","39,864","39,683","29,588","14,190","474,934","375,989","73,505","65,140","77,054","76,766","57,331","26,193","233,513","184,783","37,471","33,303","37,283","37,219","27,512","11,995","241,421","191,206","36,034","31,837","39,771","39,547","29,819","14,198","474,653","375,948","73,477","64,984","76,916","76,750","57,578","26,243","233,371","184,759","37,444","33,229","37,214","37,226","27,609","12,037","241,282","191,189","36,033","31,755","39,702","39,524","29,969","14,206"
"대전광역시 유성구 (3020000000)","350,374","270,331","52,519","55,662","60,367","53,979","34,283","13,521","176,852","137,134","28,200","29,002","29,699","26,891","17,065","6,277","173,522","133,197","24,319","26,660","30,668","27,088","17,218","7,244","350,136","270,344","52,588","55,473","60,212","53,950","34,617","13,504","176,765","137,157","28,214","28,931","29,655","26,847","17,225","6,285","173,371","133,187","24,374","26,542","30,557","27,103","17,392","7,219","350,017","270,384","52,506","55,391","60,183","53,978","34,803","13,523","176,715","137,179","28,149","28,916","29,603","26,916","17,304","6,291","173,302","133,205","24,357","26,475","30,580","27,062","17,499","7,232","350,046","270,590","52,518","55,283","60,041","54,118","35,064","13,566","176,750","137,331","28,182","28,894","29,528","26,988","17,410","6,329","173,296","133,259","24,336","26,389","30,513","27,130","17,654","7,237","349,927","270,635","52,404","55,147","60,045","54,043","35,385","13,611","176,644","137,313","28,113","28,836","29,511","26,938","17,561","6,354","173,283","133,322","24,291","26,311","30,534","27,105","17,824","7,257","349,836","270,712","52,293","55,037","59,986","54,100","35,633","13,663","176,651","137,386","28,065","28,804","29,502","26,975","17,656","6,384","173,185","133,326","24,228","26,233","30,484","27,125","17,977","7,279"
"대전광역시 대덕구 (3023000000)","175,988","142,232","24,388","20,002","27,130","33,551","25,054","12,107","89,483","73,198","13,501","10,908","13,866","17,040","12,407","5,476","86,505","69,034","10,887","9,094","13,264","16,511","12,647","6,631","175,572","142,025","24,396","19,904","26,882","33,452","25,322","12,069","89,343","73,164","13,537","10,880","13,736","17,000","12,521","5,490","86,229","68,861","10,859","9,024","13,146","16,452","12,801","6,579","175,409","141,967","24,379","19,871","26,800","33,329","25,504","12,084","89,254","73,116","13,534","10,849","13,715","16,920","12,596","5,502","86,155","68,851","10,845","9,022","13,085","16,409","12,908","6,582","175,289","141,962","24,350","19,866","26,629","33,342","25,645","12,130","89,204","73,141","13,502","10,878","13,635","16,922","12,668","5,536","86,085","68,821","10,848","8,988","12,994","16,420","12,977","6,594","175,160","141,911","24,313","19,798","26,588","33,251","25,794","12,167","89,155","73,144","13,483","10,858","13,620","16,887","12,752","5,544","86,005","68,767","10,830","8,940","12,968","16,364","13,042","6,623","174,986","141,854","24,276","19,747","26,482","33,244","25,921","12,184","89,057","73,131","13,477","10,812","13,587","16,877","12,824","5,554","85,929","68,723","10,799","8,935","12,895","16,367","13,097","6,630"
