"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_남_총인구수","2020년01월_남_연령구간인구수","2020년01월_남_20~29세","2020년01월_남_30~39세","2020년01월_남_40~49세","2020년01월_남_50~59세","2020년01월_남_60~69세","2020년01월_남_70~79세","2020년01월_여_총인구수","2020년01월_여_연령구간인구수","2020년01월_여_20~29세","2020년01월_여_30~39세","2020년01월_여_40~49세","2020년01월_여_50~59세","2020년01월_여_60~69세","2020년01월_여_70~79세"
"대전광역시  (3000000000)","1,474,152","1,155,688","212,630","199,709","242,465","243,752","169,130","88,002","736,259","579,750","111,910","103,379","121,041","121,251","82,394","39,775","737,893","575,938","100,720","96,330","121,424","122,501","86,736","48,227"
"대전광역시 동구 (3011000000)","226,216","180,224","30,670","27,188","34,772","37,794","31,178","18,622","114,174","91,956","16,362","14,534","18,330","19,289","15,074","8,367","112,042","88,268","14,308","12,654","16,442","18,505","16,104","10,255"
"대전광역시 중구 (3014000000)","240,215","190,368","31,448","27,808","38,184","40,454","32,385","20,089","118,757","94,684","16,236","14,267","19,425","20,308","15,393","9,055","121,458","95,684","15,212","13,541","18,759","20,146","16,992","11,034"
"대전광역시 서구 (3017000000)","481,174","376,608","73,764","67,776","80,203","78,394","51,711","24,760","236,839","185,190","37,630","34,408","38,833","37,944","25,075","11,300","244,335","191,418","36,134","33,368","41,370","40,450","26,636","13,460"
"대전광역시 유성구 (3020000000)","349,824","266,960","51,885","56,761","60,882","53,506","31,035","12,891","176,617","135,174","27,881","29,301","29,961","26,593","15,560","5,878","173,207","131,786","24,004","27,460","30,921","26,913","15,475","7,013"
"대전광역시 대덕구 (3023000000)","176,723","141,528","24,863","20,176","28,424","33,604","22,821","11,640","89,872","72,746","13,801","10,869","14,492","17,117","11,292","5,175","86,851","68,782","11,062","9,307","13,932","16,487","11,529","6,465"
