"행정구역","2020년02월_계_총인구수","2020년02월_계_연령구간인구수","2020년02월_계_20~29세","2020년02월_계_30~39세","2020년02월_계_40~49세","2020년02월_계_50~59세","2020년02월_계_60~69세","2020년02월_계_70~79세","2020년02월_남_총인구수","2020년02월_남_연령구간인구수","2020년02월_남_20~29세","2020년02월_남_30~39세","2020년02월_남_40~49세","2020년02월_남_50~59세","2020년02월_남_60~69세","2020년02월_남_70~79세","2020년02월_여_총인구수","2020년02월_여_연령구간인구수","2020년02월_여_20~29세","2020년02월_여_30~39세","2020년02월_여_40~49세","2020년02월_여_50~59세","2020년02월_여_60~69세","2020년02월_여_70~79세","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_남_총인구수","2020년03월_남_연령구간인구수","2020년03월_남_20~29세","2020년03월_남_30~39세","2020년03월_남_40~49세","2020년03월_남_50~59세","2020년03월_남_60~69세","2020년03월_남_70~79세","2020년03월_여_총인구수","2020년03월_여_연령구간인구수","2020년03월_여_20~29세","2020년03월_여_30~39세","2020년03월_여_40~49세","2020년03월_여_50~59세","2020년03월_여_60~69세","2020년03월_여_70~79세","2020년04월_계_총인구수","2020년04월_계_연령구간인구수","2020년04월_계_20~29세","2020년04월_계_30~39세","2020년04월_계_40~49세","2020년04월_계_50~59세","2020년04월_계_60~69세","2020년04월_계_70~79세","2020년04월_남_총인구수","2020년04월_남_연령구간인구수","2020년04월_남_20~29세","2020년04월_남_30~39세","2020년04월_남_40~49세","2020년04월_남_50~59세","2020년04월_남_60~69세","2020년04월_남_70~79세","2020년04월_여_총인구수","2020년04월_여_연령구간인구수","2020년04월_여_20~29세","2020년04월_여_30~39세","2020년04월_여_40~49세","2020년04월_여_50~59세","2020년04월_여_60~69세","2020년04월_여_70~79세","2020년05월_계_총인구수","2020년05월_계_연령구간인구수","2020년05월_계_20~29세","2020년05월_계_30~39세","2020년05월_계_40~49세","2020년05월_계_50~59세","2020년05월_계_60~69세","2020년05월_계_70~79세","2020년05월_남_총인구수","2020년05월_남_연령구간인구수","2020년05월_남_20~29세","2020년05월_남_30~39세","2020년05월_남_40~49세","2020년05월_남_50~59세","2020년05월_남_60~69세","2020년05월_남_70~79세","2020년05월_여_총인구수","2020년05월_여_연령구간인구수","2020년05월_여_20~29세","2020년05월_여_30~39세","2020년05월_여_40~49세","2020년05월_여_50~59세","2020년05월_여_60~69세","2020년05월_여_70~79세","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년07월_계_총인구수","2020년07월_계_연령구간인구수","2020년07월_계_20~29세","2020년07월_계_30~39세","2020년07월_계_40~49세","2020년07월_계_50~59세","2020년07월_계_60~69세","2020년07월_계_70~79세","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세"
"대전광역시  (3000000000)","1,473,125","1,155,736","212,143","199,106","242,381","243,526","170,291","88,289","735,791","579,882","111,597","103,296","120,944","121,171","82,946","39,928","737,334","575,854","100,546","95,810","121,437","122,355","87,345","48,361","1,471,858","1,155,383","212,258","198,404","241,550","242,974","171,435","88,762","735,179","579,782","111,676","103,050","120,473","120,926","83,465","40,192","736,679","575,601","100,582","95,354","121,077","122,048","87,970","48,570","1,471,650","1,155,969","212,490","198,204","241,035","242,915","172,219","89,106","734,902","580,002","111,701","102,958","120,240","120,866","83,844","40,393","736,748","575,967","100,789","95,246","120,795","122,049","88,375","48,713","1,471,915","1,157,058","212,858","198,147","240,495","243,088","172,989","89,481","734,940","580,560","111,810","102,975","120,001","121,014","84,172","40,588","736,975","576,498","101,048","95,172","120,494","122,074","88,817","48,893","1,471,040","1,157,163","212,938","197,697","240,090","242,755","173,812","89,871","734,441","580,602","111,813","102,796","119,772","120,905","84,574","40,742","736,599","576,561","101,125","94,901","120,318","121,850","89,238","49,129","1,470,225","1,157,320","212,861","197,250","239,825","242,797","174,228","90,359","734,008","580,720","111,815","102,600","119,547","121,015","84,765","40,978","736,217","576,600","101,046","94,650","120,278","121,782","89,463","49,381"
"대전광역시 동구 (3011000000)","225,633","179,732","30,433","26,972","34,716","37,616","31,344","18,651","113,883","91,749","16,287","14,457","18,262","19,208","15,144","8,391","111,750","87,983","14,146","12,515","16,454","18,408","16,200","10,260","225,302","179,485","30,438","26,789","34,582","37,416","31,547","18,713","113,690","91,613","16,279","14,382","18,183","19,094","15,255","8,420","111,612","87,872","14,159","12,407","16,399","18,322","16,292","10,293","225,094","179,392","30,455","26,755","34,438","37,345","31,636","18,763","113,487","91,459","16,208","14,363","18,087","19,061","15,303","8,437","111,607","87,933","14,247","12,392","16,351","18,284","16,333","10,326","224,729","179,198","30,409","26,639","34,370","37,278","31,680","18,822","113,288","91,386","16,192","14,295","18,076","19,035","15,330","8,458","111,441","87,812","14,217","12,344","16,294","18,243","16,350","10,364","224,300","178,937","30,402","26,508","34,293","37,104","31,766","18,864","113,088","91,282","16,177","14,253","18,033","18,972","15,397","8,450","111,212","87,655","14,225","12,255","16,260","18,132","16,369","10,414","224,060","178,863","30,374","26,365","34,273","37,085","31,794","18,972","112,971","91,241","16,149","14,176","18,011","18,993","15,412","8,500","111,089","87,622","14,225","12,189","16,262","18,092","16,382","10,472"
"대전광역시 중구 (3014000000)","240,064","190,395","31,424","27,658","38,162","40,455","32,561","20,135","118,636","94,683","16,185","14,256","19,367","20,345","15,461","9,069","121,428","95,712","15,239","13,402","18,795","20,110","17,100","11,066","239,635","190,169","31,448","27,484","38,000","40,307","32,707","20,223","118,361","94,514","16,169","14,149","19,277","20,278","15,528","9,113","121,274","95,655","15,279","13,335","18,723","20,029","17,179","11,110","239,361","190,085","31,463","27,288","37,928","40,288","32,823","20,295","118,212","94,473","16,155","14,074","19,258","20,249","15,583","9,154","121,149","95,612","15,308","13,214","18,670","20,039","17,240","11,141","238,955","189,840","31,361","27,213","37,732","40,297","32,895","20,342","117,992","94,347","16,095","14,019","19,176","20,268","15,610","9,179","120,963","95,493","15,266","13,194","18,556","20,029","17,285","11,163","238,540","189,645","31,394","27,059","37,605","40,185","33,006","20,396","117,801","94,273","16,134","13,932","19,105","20,251","15,660","9,191","120,739","95,372","15,260","13,127","18,500","19,934","17,346","11,205","238,149","189,422","31,290","26,920","37,544","40,150","33,015","20,503","117,592","94,164","16,083","13,868","19,049","20,242","15,699","9,223","120,557","95,258","15,207","13,052","18,495","19,908","17,316","11,280"
"대전광역시 서구 (3017000000)","481,349","376,964","73,603","67,758","80,333","78,295","52,090","24,885","236,972","185,405","37,525","34,444","38,937","37,880","25,263","11,356","244,377","191,559","36,078","33,314","41,396","40,415","26,827","13,529","481,135","377,040","73,697","67,637","80,062","78,103","52,460","25,081","236,924","185,487","37,642","34,429","38,752","37,775","25,425","11,464","244,211","191,553","36,055","33,208","41,310","40,328","27,035","13,617","481,304","377,444","73,810","67,641","79,964","78,062","52,735","25,232","237,012","185,714","37,671","34,445","38,732","37,773","25,532","11,561","244,292","191,730","36,139","33,196","41,232","40,289","27,203","13,671","481,449","377,848","74,031","67,592","79,782","78,090","52,990","25,363","237,046","185,908","37,746","34,426","38,645","37,818","25,637","11,636","244,403","191,940","36,285","33,166","41,137","40,272","27,353","13,727","481,436","378,070","74,125","67,440","79,699","78,041","53,252","25,513","236,945","185,957","37,760","34,354","38,594","37,819","25,723","11,707","244,491","192,113","36,365","33,086","41,105","40,222","27,529","13,806","481,209","378,229","74,135","67,397","79,546","78,087","53,409","25,655","236,814","186,030","37,803","34,330","38,458","37,870","25,784","11,785","244,395","192,199","36,332","33,067","41,088","40,217","27,625","13,870"
"대전광역시 유성구 (3020000000)","349,915","267,379","51,960","56,665","60,895","53,577","31,335","12,947","176,706","135,430","27,899","29,307","29,965","26,632","15,710","5,917","173,209","131,949","24,061","27,358","30,930","26,945","15,625","7,030","350,055","267,696","52,084","56,577","60,786","53,626","31,588","13,035","176,785","135,633","27,943","29,293","29,948","26,655","15,822","5,972","173,270","132,063","24,141","27,284","30,838","26,971","15,766","7,063","350,439","268,198","52,212","56,692","60,730","53,712","31,780","13,072","176,924","135,879","28,028","29,317","29,924","26,681","15,931","5,998","173,515","132,319","24,184","27,375","30,806","27,031","15,849","7,074","351,532","269,386","52,562","56,933","60,764","53,914","32,050","13,163","177,460","136,467","28,165","29,489","29,941","26,793","16,026","6,053","174,072","132,919","24,397","27,444","30,823","27,121","16,024","7,110","351,882","269,942","52,652","57,035","60,773","53,963","32,293","13,226","177,640","136,755","28,181","29,589","29,935","26,825","16,141","6,084","174,242","133,187","24,471","27,446","30,838","27,138","16,152","7,142","352,316","270,454","52,765","57,009","60,845","54,086","32,455","13,294","177,867","137,048","28,269","29,576","29,983","26,902","16,190","6,128","174,449","133,406","24,496","27,433","30,862","27,184","16,265","7,166"
"대전광역시 대덕구 (3023000000)","176,164","141,266","24,723","20,053","28,275","33,583","22,961","11,671","89,594","72,615","13,701","10,832","14,413","17,106","11,368","5,195","86,570","68,651","11,022","9,221","13,862","16,477","11,593","6,476","175,731","140,993","24,591","19,917","28,120","33,522","23,133","11,710","89,419","72,535","13,643","10,797","14,313","17,124","11,435","5,223","86,312","68,458","10,948","9,120","13,807","16,398","11,698","6,487","175,452","140,850","24,550","19,828","27,975","33,508","23,245","11,744","89,267","72,477","13,639","10,759","14,239","17,102","11,495","5,243","86,185","68,373","10,911","9,069","13,736","16,406","11,750","6,501","175,250","140,786","24,495","19,770","27,847","33,509","23,374","11,791","89,154","72,452","13,612","10,746","14,163","17,100","11,569","5,262","86,096","68,334","10,883","9,024","13,684","16,409","11,805","6,529","174,882","140,569","24,365","19,655","27,720","33,462","23,495","11,872","88,967","72,335","13,561","10,668","14,105","17,038","11,653","5,310","85,915","68,234","10,804","8,987","13,615","16,424","11,842","6,562","174,491","140,352","24,297","19,559","27,617","33,389","23,555","11,935","88,764","72,237","13,511","10,650","14,046","17,008","11,680","5,342","85,727","68,115","10,786","8,909","13,571","16,381","11,875","6,593"
