"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_20~29세","2022년09월_계_30~39세","2022년09월_계_40~49세","2022년09월_계_50~59세","2022년09월_계_60~69세","2022년09월_계_70~79세","2022년09월_남_총인구수","2022년09월_남_연령구간인구수","2022년09월_남_20~29세","2022년09월_남_30~39세","2022년09월_남_40~49세","2022년09월_남_50~59세","2022년09월_남_60~69세","2022년09월_남_70~79세","2022년09월_여_총인구수","2022년09월_여_연령구간인구수","2022년09월_여_20~29세","2022년09월_여_30~39세","2022년09월_여_40~49세","2022년09월_여_50~59세","2022년09월_여_60~69세","2022년09월_여_70~79세","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_20~29세","2022년10월_계_30~39세","2022년10월_계_40~49세","2022년10월_계_50~59세","2022년10월_계_60~69세","2022년10월_계_70~79세","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_20~29세","2022년10월_남_30~39세","2022년10월_남_40~49세","2022년10월_남_50~59세","2022년10월_남_60~69세","2022년10월_남_70~79세","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_20~29세","2022년10월_여_30~39세","2022년10월_여_40~49세","2022년10월_여_50~59세","2022년10월_여_60~69세","2022년10월_여_70~79세","2022년11월_계_총인구수","2022년11월_계_연령구간인구수","2022년11월_계_20~29세","2022년11월_계_30~39세","2022년11월_계_40~49세","2022년11월_계_50~59세","2022년11월_계_60~69세","2022년11월_계_70~79세","2022년11월_남_총인구수","2022년11월_남_연령구간인구수","2022년11월_남_20~29세","2022년11월_남_30~39세","2022년11월_남_40~49세","2022년11월_남_50~59세","2022년11월_남_60~69세","2022년11월_남_70~79세","2022년11월_여_총인구수","2022년11월_여_연령구간인구수","2022년11월_여_20~29세","2022년11월_여_30~39세","2022년11월_여_40~49세","2022년11월_여_50~59세","2022년11월_여_60~69세","2022년11월_여_70~79세","2022년12월_계_총인구수","2022년12월_계_연령구간인구수","2022년12월_계_20~29세","2022년12월_계_30~39세","2022년12월_계_40~49세","2022년12월_계_50~59세","2022년12월_계_60~69세","2022년12월_계_70~79세","2022년12월_남_총인구수","2022년12월_남_연령구간인구수","2022년12월_남_20~29세","2022년12월_남_30~39세","2022년12월_남_40~49세","2022년12월_남_50~59세","2022년12월_남_60~69세","2022년12월_남_70~79세","2022년12월_여_총인구수","2022년12월_여_연령구간인구수","2022년12월_여_20~29세","2022년12월_여_30~39세","2022년12월_여_40~49세","2022년12월_여_50~59세","2022년12월_여_60~69세","2022년12월_여_70~79세","2023년01월_계_총인구수","2023년01월_계_연령구간인구수","2023년01월_계_20~29세","2023년01월_계_30~39세","2023년01월_계_40~49세","2023년01월_계_50~59세","2023년01월_계_60~69세","2023년01월_계_70~79세","2023년01월_남_총인구수","2023년01월_남_연령구간인구수","2023년01월_남_20~29세","2023년01월_남_30~39세","2023년01월_남_40~49세","2023년01월_남_50~59세","2023년01월_남_60~69세","2023년01월_남_70~79세","2023년01월_여_총인구수","2023년01월_여_연령구간인구수","2023년01월_여_20~29세","2023년01월_여_30~39세","2023년01월_여_40~49세","2023년01월_여_50~59세","2023년01월_여_60~69세","2023년01월_여_70~79세"
"대전광역시  (3000000000)","1,448,240","1,151,645","206,113","188,112","228,590","239,713","194,368","94,749","722,486","578,165","108,213","98,826","113,743","119,814","94,220","43,349","725,754","573,480","97,900","89,286","114,847","119,899","100,148","51,400","1,446,602","1,150,153","205,405","187,975","227,963","239,361","194,620","94,829","721,604","577,359","107,811","98,709","113,468","119,634","94,300","43,437","724,998","572,794","97,594","89,266","114,495","119,727","100,320","51,392","1,446,863","1,150,368","205,141","187,977","227,543","239,152","195,691","94,864","721,745","577,505","107,658","98,781","113,254","119,549","94,809","43,454","725,118","572,863","97,483","89,196","114,289","119,603","100,882","51,410","1,446,749","1,150,478","204,577","187,988","227,361","238,972","196,591","94,989","721,609","577,433","107,260","98,829","113,161","119,406","95,255","43,522","725,140","573,045","97,317","89,159","114,200","119,566","101,336","51,467","1,446,072","1,150,176","203,887","187,991","226,654","239,260","197,255","95,129","721,245","577,297","106,826","98,898","112,804","119,574","95,583","43,612","724,827","572,879","97,061","89,093","113,850","119,686","101,672","51,517","1,445,806","1,150,314","203,322","187,743","226,271","239,463","198,056","95,459","721,037","577,354","106,501","98,812","112,654","119,603","96,003","43,781","724,769","572,960","96,821","88,931","113,617","119,860","102,053","51,678"
"대전광역시 동구 (3011000000)","220,724","177,199","29,492","24,859","32,919","35,985","34,514","19,430","111,184","90,415","15,672","13,463","17,173","18,615","16,725","8,767","109,540","86,784","13,820","11,396","15,746","17,370","17,789","10,663","220,511","176,997","29,463","24,811","32,805","35,916","34,572","19,430","111,038","90,295","15,639","13,431","17,124","18,568","16,749","8,784","109,473","86,702","13,824","11,380","15,681","17,348","17,823","10,646","220,286","176,842","29,432","24,715","32,691","35,889","34,672","19,443","110,918","90,221","15,628","13,375","17,064","18,571","16,787","8,796","109,368","86,621","13,804","11,340","15,627","17,318","17,885","10,647","220,102","176,748","29,376","24,647","32,635","35,858","34,790","19,442","110,788","90,115","15,555","13,337","17,037","18,535","16,837","8,814","109,314","86,633","13,821","11,310","15,598","17,323","17,953","10,628","219,751","176,514","29,223","24,554","32,541","35,867","34,891","19,438","110,590","89,988","15,476","13,283","16,961","18,553","16,883","8,832","109,161","86,526","13,747","11,271","15,580","17,314","18,008","10,606","219,508","176,324","29,048","24,508","32,474","35,896","34,955","19,443","110,470","89,925","15,386","13,263","16,936","18,563","16,939","8,838","109,038","86,399","13,662","11,245","15,538","17,333","18,016","10,605"
"대전광역시 중구 (3014000000)","229,092","183,338","29,471","24,906","34,629","38,593","34,929","20,810","112,685","90,944","14,948","12,894","17,447","19,563","16,750","9,342","116,407","92,394","14,523","12,012","17,182","19,030","18,179","11,468","228,198","182,566","29,281","24,796","34,402","38,470","34,835","20,782","112,165","90,498","14,841","12,816","17,301","19,507","16,707","9,326","116,033","92,068","14,440","11,980","17,101","18,963","18,128","11,456","227,934","182,255","29,158","24,772","34,258","38,365","34,977","20,725","112,058","90,390","14,805","12,834","17,206","19,466","16,772","9,307","115,876","91,865","14,353","11,938","17,052","18,899","18,205","11,418","227,500","181,899","29,028","24,674","34,198","38,257","35,047","20,695","111,878","90,244","14,768","12,777","17,191","19,417","16,798","9,293","115,622","91,655","14,260","11,897","17,007","18,840","18,249","11,402","227,108","181,593","28,914","24,577","34,019","38,243","35,114","20,726","111,703","90,128","14,682","12,773","17,112","19,422","16,822","9,317","115,405","91,465","14,232","11,804","16,907","18,821","18,292","11,409","226,780","181,318","28,792","24,425","33,873","38,254","35,173","20,801","111,502","89,952","14,590","12,690","17,030","19,434","16,856","9,352","115,278","91,366","14,202","11,735","16,843","18,820","18,317","11,449"
"대전광역시 서구 (3017000000)","471,029","374,340","71,419","64,143","75,425","76,505","59,533","27,315","231,500","184,064","36,477","32,860","36,614","37,078","28,462","12,573","239,529","190,276","34,942","31,283","38,811","39,427","31,071","14,742","470,852","374,164","71,215","64,161","75,292","76,453","59,666","27,377","231,448","183,992","36,369","32,869","36,566","37,060","28,520","12,608","239,404","190,172","34,846","31,292","38,726","39,393","31,146","14,769","471,112","374,401","71,152","64,145","75,223","76,459","60,056","27,366","231,541","184,083","36,280","32,889","36,554","37,074","28,704","12,582","239,571","190,318","34,872","31,256","38,669","39,385","31,352","14,784","471,033","374,413","70,893","64,169","75,155","76,440","60,315","27,441","231,423","183,989","36,098","32,891","36,495","37,051","28,845","12,609","239,610","190,424","34,795","31,278","38,660","39,389","31,470","14,832","470,374","373,975","70,677","63,906","74,920","76,468","60,510","27,494","230,998","183,704","35,935","32,747","36,344","37,104","28,950","12,624","239,376","190,271","34,742","31,159","38,576","39,364","31,560","14,870","470,105","374,001","70,570","63,779","74,752","76,532","60,751","27,617","230,849","183,711","35,859","32,735","36,269","37,124","29,045","12,679","239,256","190,290","34,711","31,044","38,483","39,408","31,706","14,938"
"대전광역시 유성구 (3020000000)","353,263","274,960","52,346","54,302","60,117","55,548","38,145","14,502","178,602","139,687","28,233","28,574","29,429","27,780","18,826","6,845","174,661","135,273","24,113","25,728","30,688","27,768","19,319","7,657","353,449","275,160","52,266","54,391","60,093","55,604","38,251","14,555","178,734","139,803","28,199","28,605","29,442","27,804","18,865","6,888","174,715","135,357","24,067","25,786","30,651","27,800","19,386","7,667","354,066","275,766","52,362","54,537","60,082","55,595","38,540","14,650","179,101","140,135","28,283","28,704","29,416","27,793","19,006","6,933","174,965","135,631","24,079","25,833","30,666","27,802","19,534","7,717","354,845","276,447","52,324","54,723","60,182","55,650","38,834","14,734","179,518","140,499","28,226","28,861","29,462","27,813","19,163","6,974","175,327","135,948","24,098","25,862","30,720","27,837","19,671","7,760","356,093","277,495","52,333","55,219","60,175","55,889","39,097","14,782","180,166","141,057","28,233","29,148","29,503","27,890","19,288","6,995","175,927","136,438","24,100","26,071","30,672","27,999","19,809","7,787","357,147","278,409","52,299","55,393","60,318","56,055","39,433","14,911","180,678","141,525","28,215","29,234","29,602","27,933","19,468","7,073","176,469","136,884","24,084","26,159","30,716","28,122","19,965","7,838"
"대전광역시 대덕구 (3023000000)","174,132","141,808","23,385","19,902","25,500","33,082","27,247","12,692","88,515","73,055","12,883","11,035","13,080","16,778","13,457","5,822","85,617","68,753","10,502","8,867","12,420","16,304","13,790","6,870","173,592","141,266","23,180","19,816","25,371","32,918","27,296","12,685","88,219","72,771","12,763","10,988","13,035","16,695","13,459","5,831","85,373","68,495","10,417","8,828","12,336","16,223","13,837","6,854","173,465","141,104","23,037","19,808","25,289","32,844","27,446","12,680","88,127","72,676","12,662","10,979","13,014","16,645","13,540","5,836","85,338","68,428","10,375","8,829","12,275","16,199","13,906","6,844","173,269","140,971","22,956","19,775","25,191","32,767","27,605","12,677","88,002","72,586","12,613","10,963","12,976","16,590","13,612","5,832","85,267","68,385","10,343","8,812","12,215","16,177","13,993","6,845","172,746","140,599","22,740","19,735","24,999","32,793","27,643","12,689","87,788","72,420","12,500","10,947","12,884","16,605","13,640","5,844","84,958","68,179","10,240","8,788","12,115","16,188","14,003","6,845","172,266","140,262","22,613","19,638","24,854","32,726","27,744","12,687","87,538","72,241","12,451","10,890","12,817","16,549","13,695","5,839","84,728","68,021","10,162","8,748","12,037","16,177","14,049","6,848"
