"행정구역","2022년02월_계_총인구수","2022년02월_계_연령구간인구수","2022년02월_계_20~29세","2022년02월_계_30~39세","2022년02월_계_40~49세","2022년02월_계_50~59세","2022년02월_계_60~69세","2022년02월_계_70~79세","2022년02월_남_총인구수","2022년02월_남_연령구간인구수","2022년02월_남_20~29세","2022년02월_남_30~39세","2022년02월_남_40~49세","2022년02월_남_50~59세","2022년02월_남_60~69세","2022년02월_남_70~79세","2022년02월_여_총인구수","2022년02월_여_연령구간인구수","2022년02월_여_20~29세","2022년02월_여_30~39세","2022년02월_여_40~49세","2022년02월_여_50~59세","2022년02월_여_60~69세","2022년02월_여_70~79세","2022년03월_계_총인구수","2022년03월_계_연령구간인구수","2022년03월_계_20~29세","2022년03월_계_30~39세","2022년03월_계_40~49세","2022년03월_계_50~59세","2022년03월_계_60~69세","2022년03월_계_70~79세","2022년03월_남_총인구수","2022년03월_남_연령구간인구수","2022년03월_남_20~29세","2022년03월_남_30~39세","2022년03월_남_40~49세","2022년03월_남_50~59세","2022년03월_남_60~69세","2022년03월_남_70~79세","2022년03월_여_총인구수","2022년03월_여_연령구간인구수","2022년03월_여_20~29세","2022년03월_여_30~39세","2022년03월_여_40~49세","2022년03월_여_50~59세","2022년03월_여_60~69세","2022년03월_여_70~79세","2022년04월_계_총인구수","2022년04월_계_연령구간인구수","2022년04월_계_20~29세","2022년04월_계_30~39세","2022년04월_계_40~49세","2022년04월_계_50~59세","2022년04월_계_60~69세","2022년04월_계_70~79세","2022년04월_남_총인구수","2022년04월_남_연령구간인구수","2022년04월_남_20~29세","2022년04월_남_30~39세","2022년04월_남_40~49세","2022년04월_남_50~59세","2022년04월_남_60~69세","2022년04월_남_70~79세","2022년04월_여_총인구수","2022년04월_여_연령구간인구수","2022년04월_여_20~29세","2022년04월_여_30~39세","2022년04월_여_40~49세","2022년04월_여_50~59세","2022년04월_여_60~69세","2022년04월_여_70~79세","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_20~29세","2022년05월_계_30~39세","2022년05월_계_40~49세","2022년05월_계_50~59세","2022년05월_계_60~69세","2022년05월_계_70~79세","2022년05월_남_총인구수","2022년05월_남_연령구간인구수","2022년05월_남_20~29세","2022년05월_남_30~39세","2022년05월_남_40~49세","2022년05월_남_50~59세","2022년05월_남_60~69세","2022년05월_남_70~79세","2022년05월_여_총인구수","2022년05월_여_연령구간인구수","2022년05월_여_20~29세","2022년05월_여_30~39세","2022년05월_여_40~49세","2022년05월_여_50~59세","2022년05월_여_60~69세","2022년05월_여_70~79세","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년07월_계_총인구수","2022년07월_계_연령구간인구수","2022년07월_계_20~29세","2022년07월_계_30~39세","2022년07월_계_40~49세","2022년07월_계_50~59세","2022년07월_계_60~69세","2022년07월_계_70~79세","2022년07월_남_총인구수","2022년07월_남_연령구간인구수","2022년07월_남_20~29세","2022년07월_남_30~39세","2022년07월_남_40~49세","2022년07월_남_50~59세","2022년07월_남_60~69세","2022년07월_남_70~79세","2022년07월_여_총인구수","2022년07월_여_연령구간인구수","2022년07월_여_20~29세","2022년07월_여_30~39세","2022년07월_여_40~49세","2022년07월_여_50~59세","2022년07월_여_60~69세","2022년07월_여_70~79세"
"대전광역시  (3000000000)","1,450,862","1,152,155","208,066","188,583","230,847","239,393","192,322","92,944","723,812","578,149","108,986","98,930","114,907","119,528","93,366","42,432","727,050","574,006","99,080","89,653","115,940","119,865","98,956","50,512","1,450,057","1,151,712","207,580","188,531","230,213","239,512","192,657","93,219","723,361","577,920","108,713","98,928","114,561","119,654","93,494","42,570","726,696","573,792","98,867","89,603","115,652","119,858","99,163","50,649","1,449,360","1,151,551","207,253","188,455","229,928","239,743","192,839","93,333","723,063","577,955","108,612","98,929","114,412","119,817","93,521","42,664","726,297","573,596","98,641","89,526","115,516","119,926","99,318","50,669","1,448,933","1,151,559","207,048","188,394","229,486","239,729","192,967","93,935","722,840","578,007","108,522","98,924","114,241","119,783","93,568","42,969","726,093","573,552","98,526","89,470","115,245","119,946","99,399","50,966","1,448,401","1,151,509","206,542","188,196","229,351","239,725","193,404","94,291","722,517","577,964","108,317","98,788","114,177","119,798","93,772","43,112","725,884","573,545","98,225","89,408","115,174","119,927","99,632","51,179","1,448,182","1,151,601","206,213","188,095","229,074","239,834","193,847","94,538","722,366","578,024","108,168","98,777","114,011","119,860","94,004","43,204","725,816","573,577","98,045","89,318","115,063","119,974","99,843","51,334"
"대전광역시 동구 (3011000000)","221,300","177,674","29,690","24,919","33,332","36,071","34,465","19,197","111,522","90,673","15,774","13,481","17,428","18,636","16,703","8,651","109,778","87,001","13,916","11,438","15,904","17,435","17,762","10,546","220,860","177,255","29,610","24,764","33,137","36,089","34,445","19,210","111,261","90,451","15,743","13,402","17,309","18,676","16,688","8,633","109,599","86,804","13,867","11,362","15,828","17,413","17,757","10,577","220,313","176,860","29,520","24,642","33,068","36,040","34,393","19,197","110,985","90,264","15,706","13,331","17,283","18,651","16,647","8,646","109,328","86,596","13,814","11,311","15,785","17,389","17,746","10,551","220,920","177,327","29,583","24,867","33,080","36,071","34,419","19,307","111,265","90,466","15,710","13,472","17,265","18,634","16,680","8,705","109,655","86,861","13,873","11,395","15,815","17,437","17,739","10,602","221,043","177,502","29,531","24,975","33,068","36,071","34,486","19,371","111,349","90,554","15,719","13,524","17,248","18,616","16,715","8,732","109,694","86,948","13,812","11,451","15,820","17,455","17,771","10,639","220,889","177,388","29,493","24,889","33,046","36,060","34,503","19,397","111,260","90,500","15,686","13,487","17,222","18,637","16,727","8,741","109,629","86,888","13,807","11,402","15,824","17,423","17,776","10,656"
"대전광역시 중구 (3014000000)","229,283","183,611","29,851","24,621","34,967","38,683","34,912","20,577","112,856","91,073","15,131","12,727","17,683","19,592","16,705","9,235","116,427","92,538","14,720","11,894","17,284","19,091","18,207","11,342","229,497","183,737","29,819","24,865","34,883","38,675","34,897","20,598","112,944","91,125","15,090","12,840","17,641","19,580","16,720","9,254","116,553","92,612","14,729","12,025","17,242","19,095","18,177","11,344","229,531","183,762","29,775","24,961","34,822","38,719","34,907","20,578","112,971","91,172","15,096","12,888","17,578","19,618","16,735","9,257","116,560","92,590","14,679","12,073","17,244","19,101","18,172","11,321","229,089","183,442","29,664","24,878","34,703","38,689","34,828","20,680","112,787","91,063","15,074","12,855","17,521","19,598","16,710","9,305","116,302","92,379","14,590","12,023","17,182","19,091","18,118","11,375","229,570","183,770","29,634","24,988","34,820","38,703","34,876","20,749","112,994","91,221","15,050","12,933","17,566","19,623","16,708","9,341","116,576","92,549","14,584","12,055","17,254","19,080","18,168","11,408","229,712","183,826","29,589","25,026","34,798","38,711","34,910","20,792","113,004","91,203","15,029","12,938","17,538","19,623","16,743","9,332","116,708","92,623","14,560","12,088","17,260","19,088","18,167","11,460"
"대전광역시 서구 (3017000000)","472,935","375,161","72,211","64,536","76,262","76,514","58,921","26,717","232,428","184,363","36,800","33,080","36,913","37,060","28,263","12,247","240,507","190,798","35,411","31,456","39,349","39,454","30,658","14,470","472,417","374,899","71,979","64,392","76,124","76,524","59,046","26,834","232,247","184,319","36,709","33,045","36,855","37,098","28,280","12,332","240,170","190,580","35,270","31,347","39,269","39,426","30,766","14,502","471,907","374,677","71,935","64,254","75,965","76,543","59,053","26,927","231,995","184,236","36,682","32,980","36,798","37,118","28,274","12,384","239,912","190,441","35,253","31,274","39,167","39,425","30,779","14,543","471,247","374,287","71,793","64,147","75,725","76,457","59,093","27,072","231,667","184,034","36,603","32,900","36,713","37,092","28,271","12,455","239,580","190,253","35,190","31,247","39,012","39,365","30,822","14,617","470,332","373,693","71,559","63,878","75,519","76,404","59,158","27,175","231,167","183,730","36,510","32,732","36,619","37,067","28,313","12,489","239,165","189,963","35,049","31,146","38,900","39,337","30,845","14,686","469,987","373,587","71,414","63,819","75,390","76,451","59,270","27,243","230,978","183,675","36,461","32,684","36,586","37,063","28,351","12,530","239,009","189,912","34,953","31,135","38,804","39,388","30,919","14,713"
"대전광역시 유성구 (3020000000)","351,887","273,064","52,294","54,490","60,181","54,789","37,260","14,050","177,825","138,622","28,105","28,588","29,509","27,357","18,463","6,600","174,062","134,442","24,189","25,902","30,672","27,432","18,797","7,450","351,989","273,269","52,265","54,450","60,102","54,888","37,443","14,121","177,768","138,607","28,019","28,541","29,450","27,428","18,534","6,635","174,221","134,662","24,246","25,909","30,652","27,460","18,909","7,486","352,557","273,812","52,188","54,555","60,183","55,137","37,569","14,180","178,115","138,934","28,023","28,622","29,492","27,559","18,570","6,668","174,442","134,878","24,165","25,933","30,691","27,578","18,999","7,512","352,826","274,227","52,252","54,525","60,160","55,272","37,703","14,315","178,219","139,156","28,078","28,617","29,488","27,616","18,609","6,748","174,607","135,071","24,174","25,908","30,672","27,656","19,094","7,567","352,844","274,379","52,181","54,365","60,217","55,372","37,866","14,378","178,251","139,245","28,054","28,538","29,527","27,673","18,681","6,772","174,593","135,134","24,127","25,827","30,690","27,699","19,185","7,606","353,151","274,767","52,254","54,369","60,198","55,464","38,019","14,463","178,438","139,484","28,105","28,579","29,498","27,725","18,769","6,808","174,713","135,283","24,149","25,790","30,700","27,739","19,250","7,655"
"대전광역시 대덕구 (3023000000)","175,457","142,645","24,020","20,017","26,105","33,336","26,764","12,403","89,181","73,418","13,176","11,054","13,374","16,883","13,232","5,699","86,276","69,227","10,844","8,963","12,731","16,453","13,532","6,704","175,294","142,552","23,907","20,060","25,967","33,336","26,826","12,456","89,141","73,418","13,152","11,100","13,306","16,872","13,272","5,716","86,153","69,134","10,755","8,960","12,661","16,464","13,554","6,740","175,052","142,440","23,835","20,043","25,890","33,304","26,917","12,451","88,997","73,349","13,105","11,108","13,261","16,871","13,295","5,709","86,055","69,091","10,730","8,935","12,629","16,433","13,622","6,742","174,851","142,276","23,756","19,977","25,818","33,240","26,924","12,561","88,902","73,288","13,057","11,080","13,254","16,843","13,298","5,756","85,949","68,988","10,699","8,897","12,564","16,397","13,626","6,805","174,612","142,165","23,637","19,990","25,727","33,175","27,018","12,618","88,756","73,214","12,984","11,061","13,217","16,819","13,355","5,778","85,856","68,951","10,653","8,929","12,510","16,356","13,663","6,840","174,443","142,033","23,463","19,992","25,642","33,148","27,145","12,643","88,686","73,162","12,887","11,089","13,167","16,812","13,414","5,793","85,757","68,871","10,576","8,903","12,475","16,336","13,731","6,850"
