"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_남_총인구수","2021년08월_남_연령구간인구수","2021년08월_남_20~29세","2021년08월_남_30~39세","2021년08월_남_40~49세","2021년08월_남_50~59세","2021년08월_남_60~69세","2021년08월_남_70~79세","2021년08월_여_총인구수","2021년08월_여_연령구간인구수","2021년08월_여_20~29세","2021년08월_여_30~39세","2021년08월_여_40~49세","2021년08월_여_50~59세","2021년08월_여_60~69세","2021년08월_여_70~79세","2021년09월_계_총인구수","2021년09월_계_연령구간인구수","2021년09월_계_20~29세","2021년09월_계_30~39세","2021년09월_계_40~49세","2021년09월_계_50~59세","2021년09월_계_60~69세","2021년09월_계_70~79세","2021년09월_남_총인구수","2021년09월_남_연령구간인구수","2021년09월_남_20~29세","2021년09월_남_30~39세","2021년09월_남_40~49세","2021년09월_남_50~59세","2021년09월_남_60~69세","2021년09월_남_70~79세","2021년09월_여_총인구수","2021년09월_여_연령구간인구수","2021년09월_여_20~29세","2021년09월_여_30~39세","2021년09월_여_40~49세","2021년09월_여_50~59세","2021년09월_여_60~69세","2021년09월_여_70~79세","2021년10월_계_총인구수","2021년10월_계_연령구간인구수","2021년10월_계_20~29세","2021년10월_계_30~39세","2021년10월_계_40~49세","2021년10월_계_50~59세","2021년10월_계_60~69세","2021년10월_계_70~79세","2021년10월_남_총인구수","2021년10월_남_연령구간인구수","2021년10월_남_20~29세","2021년10월_남_30~39세","2021년10월_남_40~49세","2021년10월_남_50~59세","2021년10월_남_60~69세","2021년10월_남_70~79세","2021년10월_여_총인구수","2021년10월_여_연령구간인구수","2021년10월_여_20~29세","2021년10월_여_30~39세","2021년10월_여_40~49세","2021년10월_여_50~59세","2021년10월_여_60~69세","2021년10월_여_70~79세","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_남_총인구수","2021년11월_남_연령구간인구수","2021년11월_남_20~29세","2021년11월_남_30~39세","2021년11월_남_40~49세","2021년11월_남_50~59세","2021년11월_남_60~69세","2021년11월_남_70~79세","2021년11월_여_총인구수","2021년11월_여_연령구간인구수","2021년11월_여_20~29세","2021년11월_여_30~39세","2021년11월_여_40~49세","2021년11월_여_50~59세","2021년11월_여_60~69세","2021년11월_여_70~79세","2021년12월_계_총인구수","2021년12월_계_연령구간인구수","2021년12월_계_20~29세","2021년12월_계_30~39세","2021년12월_계_40~49세","2021년12월_계_50~59세","2021년12월_계_60~69세","2021년12월_계_70~79세","2021년12월_남_총인구수","2021년12월_남_연령구간인구수","2021년12월_남_20~29세","2021년12월_남_30~39세","2021년12월_남_40~49세","2021년12월_남_50~59세","2021년12월_남_60~69세","2021년12월_남_70~79세","2021년12월_여_총인구수","2021년12월_여_연령구간인구수","2021년12월_여_20~29세","2021년12월_여_30~39세","2021년12월_여_40~49세","2021년12월_여_50~59세","2021년12월_여_60~69세","2021년12월_여_70~79세","2022년01월_계_총인구수","2022년01월_계_연령구간인구수","2022년01월_계_20~29세","2022년01월_계_30~39세","2022년01월_계_40~49세","2022년01월_계_50~59세","2022년01월_계_60~69세","2022년01월_계_70~79세","2022년01월_남_총인구수","2022년01월_남_연령구간인구수","2022년01월_남_20~29세","2022년01월_남_30~39세","2022년01월_남_40~49세","2022년01월_남_50~59세","2022년01월_남_60~69세","2022년01월_남_70~79세","2022년01월_여_총인구수","2022년01월_여_연령구간인구수","2022년01월_여_20~29세","2022년01월_여_30~39세","2022년01월_여_40~49세","2022년01월_여_50~59세","2022년01월_여_60~69세","2022년01월_여_70~79세"
"대전광역시  (3000000000)","1,454,679","1,153,220","210,407","190,417","232,653","239,536","188,339","91,868","725,956","578,777","110,408","99,627","115,946","119,607","91,358","41,831","728,723","574,443","99,999","90,790","116,707","119,929","96,981","50,037","1,455,058","1,154,126","211,021","190,288","232,111","239,841","188,867","91,998","726,142","579,267","110,691","99,568","115,730","119,771","91,605","41,902","728,916","574,859","100,330","90,720","116,381","120,070","97,262","50,096","1,454,228","1,153,926","210,578","190,062","231,511","240,082","189,446","92,247","725,742","579,163","110,358","99,571","115,348","119,969","91,878","42,039","728,486","574,763","100,220","90,491","116,163","120,113","97,568","50,208","1,453,675","1,153,918","210,148","189,983","231,153","240,267","190,076","92,291","725,406","579,123","110,127","99,530","115,145","120,042","92,225","42,054","728,269","574,795","100,021","90,453","116,008","120,225","97,851","50,237","1,452,251","1,153,005","209,397","189,669","231,018","240,017","190,514","92,390","724,626","578,626","109,664","99,378","115,072","119,967","92,406","42,139","727,625","574,379","99,733","90,291","115,946","120,050","98,108","50,251","1,451,272","1,152,390","208,606","189,122","230,741","239,766","191,487","92,668","724,026","578,283","109,258","99,144","114,873","119,781","92,929","42,298","727,246","574,107","99,348","89,978","115,868","119,985","98,558","50,370"
"대전광역시 동구 (3011000000)","223,206","178,948","30,171","25,527","33,845","36,275","34,070","19,060","112,538","91,294","16,008","13,792","17,714","18,726","16,485","8,569","110,668","87,654","14,163","11,735","16,131","17,549","17,585","10,491","223,409","179,215","30,350","25,540","33,745","36,327","34,147","19,106","112,638","91,435","16,102","13,811","17,657","18,770","16,508","8,587","110,771","87,780","14,248","11,729","16,088","17,557","17,639","10,519","223,384","179,254","30,372","25,493","33,661","36,401","34,191","19,136","112,624","91,438","16,066","13,791","17,601","18,833","16,540","8,607","110,760","87,816","14,306","11,702","16,060","17,568","17,651","10,529","223,038","179,094","30,294","25,440","33,546","36,396","34,284","19,134","112,408","91,330","16,006","13,761","17,529","18,836","16,590","8,608","110,630","87,764","14,288","11,679","16,017","17,560","17,694","10,526","222,222","178,504","30,090","25,243","33,446","36,280","34,291","19,154","111,953","91,009","15,862","13,646","17,511","18,762","16,588","8,640","110,269","87,495","14,228","11,597","15,935","17,518","17,703","10,514","221,592","178,017","29,836","25,075","33,364","36,178","34,393","19,171","111,632","90,770","15,776","13,552","17,450","18,699","16,659","8,634","109,960","87,247","14,060","11,523","15,914","17,479","17,734","10,537"
"대전광역시 중구 (3014000000)","232,309","185,737","30,374","25,353","35,749","39,008","34,674","20,579","114,475","92,173","15,507","13,059","18,088","19,738","16,553","9,228","117,834","93,564","14,867","12,294","17,661","19,270","18,121","11,351","232,077","185,595","30,367","25,306","35,602","39,039","34,705","20,576","114,361","92,097","15,464","13,044","18,010","19,781","16,564","9,234","117,716","93,498","14,903","12,262","17,592","19,258","18,141","11,342","231,852","185,504","30,295","25,262","35,467","39,072","34,809","20,599","114,258","92,059","15,404","13,028","17,936","19,818","16,627","9,246","117,594","93,445","14,891","12,234","17,531","19,254","18,182","11,353","231,306","185,152","30,196","25,188","35,384","38,996","34,827","20,561","113,977","91,868","15,356","13,009","17,880","19,765","16,640","9,218","117,329","93,284","14,840","12,179","17,504","19,231","18,187","11,343","230,341","184,413","30,051","24,970","35,204","38,869","34,798","20,521","113,507","91,532","15,297","12,898","17,799","19,703","16,646","9,189","116,834","92,881","14,754","12,072","17,405","19,166","18,152","11,332","229,555","183,818","29,928","24,743","35,004","38,742","34,872","20,529","113,073","91,221","15,232","12,796","17,697","19,617","16,677","9,202","116,482","92,597","14,696","11,947","17,307","19,125","18,195","11,327"
"대전광역시 서구 (3017000000)","474,504","375,956","73,367","64,914","76,768","76,794","57,825","26,288","233,278","184,773","37,408","33,231","37,130","37,231","27,730","12,043","241,226","191,183","35,959","31,683","39,638","39,563","30,095","14,245","474,444","376,069","73,480","64,911","76,531","76,873","57,938","26,336","233,248","184,846","37,452","33,223","37,059","37,262","27,788","12,062","241,196","191,223","36,028","31,688","39,472","39,611","30,150","14,274","474,046","375,896","73,248","64,815","76,387","76,926","58,097","26,423","233,068","184,796","37,337","33,239","36,952","37,319","27,850","12,099","240,978","191,100","35,911","31,576","39,435","39,607","30,247","14,324","473,952","375,939","73,110","64,807","76,314","76,970","58,289","26,449","233,010","184,835","37,308","33,202","36,926","37,315","27,972","12,112","240,942","191,104","35,802","31,605","39,388","39,655","30,317","14,337","473,365","375,493","72,847","64,713","76,261","76,797","58,390","26,485","232,714","184,584","37,149","33,146","36,910","37,251","27,998","12,130","240,651","190,909","35,698","31,567","39,351","39,546","30,392","14,355","473,019","375,222","72,552","64,581","76,208","76,621","58,665","26,595","232,482","184,431","36,968","33,082","36,912","37,116","28,146","12,207","240,537","190,791","35,584","31,499","39,296","39,505","30,519","14,388"
"대전광역시 유성구 (3020000000)","349,809","270,812","52,291","54,917","59,862","54,248","35,767","13,727","176,672","137,450","28,066","28,745","29,460","27,035","17,730","6,414","173,137","133,362","24,225","26,172","30,402","27,213","18,037","7,313","350,337","271,472","52,643","54,834","59,913","54,338","36,000","13,744","176,991","137,839","28,282","28,720","29,479","27,081","17,851","6,426","173,346","133,633","24,361","26,114","30,434","27,257","18,149","7,318","350,284","271,511","52,495","54,852","59,804","54,402","36,181","13,777","176,936","137,814","28,176","28,730","29,402","27,133","17,916","6,457","173,348","133,697","24,319","26,122","30,402","27,269","18,265","7,320","351,049","272,169","52,454","54,927","59,829","54,663","36,458","13,838","177,352","138,154","28,142","28,785","29,428","27,269","18,048","6,482","173,697","134,015","24,312","26,142","30,401","27,394","18,410","7,356","351,277","272,349","52,312","54,802","59,950","54,745","36,673","13,867","177,463","138,263","28,055","28,748","29,452","27,333","18,166","6,509","173,814","134,086","24,257","26,054","30,498","27,412","18,507","7,358","351,622","272,652","52,133","54,700","60,053","54,799","36,991","13,976","177,638","138,409","27,986","28,702","29,452","27,381","18,330","6,558","173,984","134,243","24,147","25,998","30,601","27,418","18,661","7,418"
"대전광역시 대덕구 (3023000000)","174,851","141,767","24,204","19,706","26,429","33,211","26,003","12,214","88,993","73,087","13,419","10,800","13,554","16,877","12,860","5,577","85,858","68,680","10,785","8,906","12,875","16,334","13,143","6,637","174,791","141,775","24,181","19,697","26,320","33,264","26,077","12,236","88,904","73,050","13,391","10,770","13,525","16,877","12,894","5,593","85,887","68,725","10,790","8,927","12,795","16,387","13,183","6,643","174,662","141,761","24,168","19,640","26,192","33,281","26,168","12,312","88,856","73,056","13,375","10,783","13,457","16,866","12,945","5,630","85,806","68,705","10,793","8,857","12,735","16,415","13,223","6,682","174,330","141,564","24,094","19,621","26,080","33,242","26,218","12,309","88,659","72,936","13,315","10,773","13,382","16,857","12,975","5,634","85,671","68,628","10,779","8,848","12,698","16,385","13,243","6,675","175,046","142,246","24,097","19,941","26,157","33,326","26,362","12,363","88,989","73,238","13,301","10,940","13,400","16,918","13,008","5,671","86,057","69,008","10,796","9,001","12,757","16,408","13,354","6,692","175,484","142,681","24,157","20,023","26,112","33,426","26,566","12,397","89,201","73,452","13,296","11,012","13,362","16,968","13,117","5,697","86,283","69,229","10,861","9,011","12,750","16,458","13,449","6,700"
