"행정구역","2021년02월_계_총인구수","2021년02월_계_연령구간인구수","2021년02월_계_20~29세","2021년02월_계_30~39세","2021년02월_계_40~49세","2021년02월_계_50~59세","2021년02월_계_60~69세","2021년02월_계_70~79세","2021년02월_남_총인구수","2021년02월_남_연령구간인구수","2021년02월_남_20~29세","2021년02월_남_30~39세","2021년02월_남_40~49세","2021년02월_남_50~59세","2021년02월_남_60~69세","2021년02월_남_70~79세","2021년02월_여_총인구수","2021년02월_여_연령구간인구수","2021년02월_여_20~29세","2021년02월_여_30~39세","2021년02월_여_40~49세","2021년02월_여_50~59세","2021년02월_여_60~69세","2021년02월_여_70~79세","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_남_총인구수","2021년03월_남_연령구간인구수","2021년03월_남_20~29세","2021년03월_남_30~39세","2021년03월_남_40~49세","2021년03월_남_50~59세","2021년03월_남_60~69세","2021년03월_남_70~79세","2021년03월_여_총인구수","2021년03월_여_연령구간인구수","2021년03월_여_20~29세","2021년03월_여_30~39세","2021년03월_여_40~49세","2021년03월_여_50~59세","2021년03월_여_60~69세","2021년03월_여_70~79세","2021년04월_계_총인구수","2021년04월_계_연령구간인구수","2021년04월_계_20~29세","2021년04월_계_30~39세","2021년04월_계_40~49세","2021년04월_계_50~59세","2021년04월_계_60~69세","2021년04월_계_70~79세","2021년04월_남_총인구수","2021년04월_남_연령구간인구수","2021년04월_남_20~29세","2021년04월_남_30~39세","2021년04월_남_40~49세","2021년04월_남_50~59세","2021년04월_남_60~69세","2021년04월_남_70~79세","2021년04월_여_총인구수","2021년04월_여_연령구간인구수","2021년04월_여_20~29세","2021년04월_여_30~39세","2021년04월_여_40~49세","2021년04월_여_50~59세","2021년04월_여_60~69세","2021년04월_여_70~79세","2021년05월_계_총인구수","2021년05월_계_연령구간인구수","2021년05월_계_20~29세","2021년05월_계_30~39세","2021년05월_계_40~49세","2021년05월_계_50~59세","2021년05월_계_60~69세","2021년05월_계_70~79세","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_20~29세","2021년06월_남_30~39세","2021년06월_남_40~49세","2021년06월_남_50~59세","2021년06월_남_60~69세","2021년06월_남_70~79세","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_20~29세","2021년06월_여_30~39세","2021년06월_여_40~49세","2021년06월_여_50~59세","2021년06월_여_60~69세","2021년06월_여_70~79세","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_남_총인구수","2021년07월_남_연령구간인구수","2021년07월_남_20~29세","2021년07월_남_30~39세","2021년07월_남_40~49세","2021년07월_남_50~59세","2021년07월_남_60~69세","2021년07월_남_70~79세","2021년07월_여_총인구수","2021년07월_여_연령구간인구수","2021년07월_여_20~29세","2021년07월_여_30~39세","2021년07월_여_40~49세","2021년07월_여_50~59세","2021년07월_여_60~69세","2021년07월_여_70~79세"
"충청남도  (4400000000)","2,119,542","1,630,628","241,076","266,151","328,338","339,335","284,032","171,696","1,082,026","850,773","133,001","143,426","175,060","179,285","142,045","77,956","1,037,516","779,855","108,075","122,725","153,278","160,050","141,987","93,740","2,115,823","1,628,288","240,801","265,022","327,135","337,907","286,395","171,028","1,080,841","850,257","132,916","142,787","174,570","178,806","143,402","77,776","1,034,982","778,031","107,885","122,235","152,565","159,101","142,993","93,252","2,116,452","1,629,373","240,595","264,398","327,136","337,664","288,630","170,950","1,081,275","851,085","132,853","142,442","174,552","178,739","144,670","77,829","1,035,177","778,288","107,742","121,956","152,584","158,925","143,960","93,121","2,117,260","1,630,522","240,593","263,718","326,325","338,051","290,722","171,113","1,081,854","851,930","132,913","142,098","174,050","179,102","145,794","77,973","1,035,406","778,592","107,680","121,620","152,275","158,949","144,928","93,140","2,117,400","1,631,359","240,486","262,958","326,497","337,494","292,701","171,223","1,082,113","852,646","132,940","141,673","174,199","178,810","146,907","78,117","1,035,287","778,713","107,546","121,285","152,298","158,684","145,794","93,106","2,118,205","1,632,446","240,255","262,268","326,371","337,638","294,422","171,492","1,082,654","853,394","132,930","141,297","174,130","178,960","147,789","78,288","1,035,551","779,052","107,325","120,971","152,241","158,678","146,633","93,204"
"충청남도 천안시 (4413000000)","658,295","510,953","95,877","104,608","112,168","102,951","65,060","30,289","336,095","263,540","50,412","55,647","58,055","52,831","32,887","13,708","322,200","247,413","45,465","48,961","54,113","50,120","32,173","16,581","657,549","510,683","95,866","104,158","111,897","102,621","65,907","30,234","335,763","263,423","50,399","55,371","57,988","52,659","33,307","13,699","321,786","247,260","45,467","48,787","53,909","49,962","32,600","16,535","657,410","510,831","95,742","103,917","111,870","102,629","66,426","30,247","335,775","263,604","50,310","55,327","58,000","52,636","33,622","13,709","321,635","247,227","45,432","48,590","53,870","49,993","32,804","16,538","657,775","511,336","95,783","103,704","111,638","102,974","66,947","30,290","335,990","263,897","50,368","55,215","57,847","52,856","33,879","13,732","321,785","247,439","45,415","48,489","53,791","50,118","33,068","16,558","657,503","511,396","95,714","103,263","111,684","102,887","67,529","30,319","335,917","264,014","50,354","54,973","57,934","52,823","34,174","13,756","321,586","247,382","45,360","48,290","53,750","50,064","33,355","16,563","657,584","511,663","95,636","103,008","111,664","102,911","68,035","30,409","335,996","264,208","50,357","54,822","57,953","52,844","34,437","13,795","321,588","247,455","45,279","48,186","53,711","50,067","33,598","16,614"
"충청남도 천안시 동남구 (4413100000)","257,397","201,799","35,100","32,850","42,764","43,604","31,883","15,598","130,449","103,384","18,618","17,269","22,038","22,261","16,036","7,162","126,948","98,415","16,482","15,581","20,726","21,343","15,847","8,436","256,931","201,585","35,040","32,715","42,560","43,376","32,312","15,582","130,221","103,253","18,574","17,195","21,976","22,097","16,248","7,163","126,710","98,332","16,466","15,520","20,584","21,279","16,064","8,419","256,797","201,584","34,970","32,663","42,497","43,331","32,546","15,577","130,157","103,262","18,506","17,213","21,958","22,031","16,392","7,162","126,640","98,322","16,464","15,450","20,539","21,300","16,154","8,415","256,482","201,420","34,925","32,558","42,266","43,355","32,724","15,592","130,028","103,211","18,510","17,147","21,837","22,053","16,487","7,177","126,454","98,209","16,415","15,411","20,429","21,302","16,237","8,415","256,047","201,179","34,823","32,323","42,190","43,318","32,930","15,595","129,806","103,097","18,469","17,018","21,810","22,019","16,593","7,188","126,241","98,082","16,354","15,305","20,380","21,299","16,337","8,407","255,891","201,134","34,830","32,155","42,122","43,229","33,179","15,619","129,756","103,102","18,472","16,929","21,777","21,995","16,733","7,196","126,135","98,032","16,358","15,226","20,345","21,234","16,446","8,423"
"충청남도 천안시 서북구 (4413300000)","400,898","309,154","60,777","71,758","69,404","59,347","33,177","14,691","205,646","160,156","31,794","38,378","36,017","30,570","16,851","6,546","195,252","148,998","28,983","33,380","33,387","28,777","16,326","8,145","400,618","309,098","60,826","71,443","69,337","59,245","33,595","14,652","205,542","160,170","31,825","38,176","36,012","30,562","17,059","6,536","195,076","148,928","29,001","33,267","33,325","28,683","16,536","8,116","400,613","309,247","60,772","71,254","69,373","59,298","33,880","14,670","205,618","160,342","31,804","38,114","36,042","30,605","17,230","6,547","194,995","148,905","28,968","33,140","33,331","28,693","16,650","8,123","401,293","309,916","60,858","71,146","69,372","59,619","34,223","14,698","205,962","160,686","31,858","38,068","36,010","30,803","17,392","6,555","195,331","149,230","29,000","33,078","33,362","28,816","16,831","8,143","401,456","310,217","60,891","70,940","69,494","59,569","34,599","14,724","206,111","160,917","31,885","37,955","36,124","30,804","17,581","6,568","195,345","149,300","29,006","32,985","33,370","28,765","17,018","8,156","401,693","310,529","60,806","70,853","69,542","59,682","34,856","14,790","206,240","161,106","31,885","37,893","36,176","30,849","17,704","6,599","195,453","149,423","28,921","32,960","33,366","28,833","17,152","8,191"
"충청남도 공주시 (4415000000)","104,319","82,270","11,091","9,406","13,261","18,320","18,678","11,514","52,177","42,234","6,120","5,056","6,997","9,423","9,344","5,294","52,142","40,036","4,971","4,350","6,264","8,897","9,334","6,220","103,839","81,859","11,030","9,347","13,157","18,163","18,747","11,415","51,972","42,050","6,061","5,027","6,951","9,364","9,394","5,253","51,867","39,809","4,969","4,320","6,206","8,799","9,353","6,162","103,782","81,837","11,017","9,291","13,183","18,076","18,888","11,382","51,925","42,032","6,046","4,992","6,963","9,319","9,472","5,240","51,857","39,805","4,971","4,299","6,220","8,757","9,416","6,142","103,752","81,811","11,001","9,257","13,088","18,036","19,037","11,392","51,924","42,040","6,036","4,985","6,908","9,302","9,558","5,251","51,828","39,771","4,965","4,272","6,180","8,734","9,479","6,141","103,640","81,741","10,950","9,229","13,064","17,968","19,131","11,399","51,835","42,000","6,014","4,961","6,896","9,255","9,614","5,260","51,805","39,741","4,936","4,268","6,168","8,713","9,517","6,139","103,572","81,724","10,956","9,171","13,048","17,911","19,226","11,412","51,769","41,957","6,001","4,928","6,882","9,230","9,655","5,261","51,803","39,767","4,955","4,243","6,166","8,681","9,571","6,151"
"충청남도 보령시 (4418000000)","99,673","78,121","9,408","9,232","13,883","17,008","17,304","11,286","50,499","40,739","5,526","5,014","7,592","9,058","8,493","5,056","49,174","37,382","3,882","4,218","6,291","7,950","8,811","6,230","99,234","77,793","9,374","9,179","13,741","16,866","17,400","11,233","50,329","40,608","5,508","4,988","7,522","9,000","8,545","5,045","48,905","37,185","3,866","4,191","6,219","7,866","8,855","6,188","99,137","77,719","9,330","9,161","13,703","16,791","17,505","11,229","50,271","40,569","5,484","4,967","7,501","8,974","8,582","5,061","48,866","37,150","3,846","4,194","6,202","7,817","8,923","6,168","99,048","77,650","9,334","9,122","13,623","16,727","17,589","11,255","50,257","40,566","5,504","4,951","7,467","8,948","8,629","5,067","48,791","37,084","3,830","4,171","6,156","7,779","8,960","6,188","98,993","77,616","9,309","9,093","13,624","16,633","17,698","11,259","50,235","40,566","5,496","4,943","7,474","8,892","8,688","5,073","48,758","37,050","3,813","4,150","6,150","7,741","9,010","6,186","98,922","77,572","9,280","9,081","13,544","16,623","17,777","11,267","50,211","40,569","5,485","4,938","7,442","8,889","8,735","5,080","48,711","37,003","3,795","4,143","6,102","7,734","9,042","6,187"
"충청남도 아산시 (4420000000)","317,626","239,156","36,755","48,186","56,927","46,557","32,616","18,115","164,838","126,533","20,404","25,758","30,905","25,150","16,255","8,061","152,788","112,623","16,351","22,428","26,022","21,407","16,361","10,054","317,933","239,583","36,899","48,118","56,977","46,564","32,962","18,063","165,144","126,907","20,541","25,707","30,979","25,185","16,457","8,038","152,789","112,676","16,358","22,411","25,998","21,379","16,505","10,025","318,699","240,386","37,066","48,138","57,138","46,656","33,301","18,087","165,503","127,326","20,671","25,680","31,038","25,249","16,640","8,048","153,196","113,060","16,395","22,458","26,100","21,407","16,661","10,039","319,225","240,949","37,131","48,136","57,140","46,842","33,619","18,081","165,823","127,649","20,689","25,681","31,041","25,356","16,825","8,057","153,402","113,300","16,442","22,455","26,099","21,486","16,794","10,024","320,340","241,960","37,321","48,303","57,360","46,974","33,884","18,118","166,425","128,186","20,789","25,767","31,139","25,436","16,985","8,070","153,915","113,774","16,532","22,536","26,221","21,538","16,899","10,048","321,170","242,750","37,364","48,321","57,510","47,252","34,092","18,211","166,942","128,676","20,839","25,815","31,213","25,570","17,108","8,131","154,228","114,074","16,525","22,506","26,297","21,682","16,984","10,080"
"충청남도 서산시 (4421000000)","175,623","133,629","19,085","21,971","27,843","28,428","22,328","13,974","91,471","71,343","11,313","12,205","14,899","15,203","11,191","6,532","84,152","62,286","7,772","9,766","12,944","13,225","11,137","7,442","175,650","133,733","19,071","21,925","27,847","28,371","22,573","13,946","91,548","71,475","11,332","12,173","14,922","15,192","11,320","6,536","84,102","62,258","7,739","9,752","12,925","13,179","11,253","7,410","175,817","133,922","19,056","21,905","27,842","28,376","22,809","13,934","91,664","71,613","11,355","12,157","14,910","15,211","11,443","6,537","84,153","62,309","7,701","9,748","12,932","13,165","11,366","7,397","176,031","134,112","19,055","21,883","27,820","28,429","22,982","13,943","91,809","71,767","11,374","12,145","14,881","15,284","11,532","6,551","84,222","62,345","7,681","9,738","12,939","13,145","11,450","7,392","176,090","134,259","19,050","21,839","27,837","28,381","23,191","13,961","91,855","71,857","11,375","12,111","14,899","15,252","11,654","6,566","84,235","62,402","7,675","9,728","12,938","13,129","11,537","7,395","176,205","134,336","18,995","21,802","27,816","28,411","23,335","13,977","91,883","71,878","11,337","12,108","14,874","15,265","11,710","6,584","84,322","62,458","7,658","9,694","12,942","13,146","11,625","7,393"
"충청남도 논산시 (4423000000)","116,315","89,986","11,215","10,639","15,296","19,555","20,252","13,029","58,131","46,330","6,276","5,641","8,098","10,299","10,204","5,812","58,184","43,656","4,939","4,998","7,198","9,256","10,048","7,217","115,573","89,421","11,157","10,543","15,117","19,360","20,306","12,938","57,835","46,131","6,241","5,603","8,019","10,240","10,246","5,782","57,738","43,290","4,916","4,940","7,098","9,120","10,060","7,156","115,520","89,386","11,151","10,487","15,056","19,356","20,426","12,910","57,810","46,141","6,250","5,576","7,983","10,234","10,320","5,778","57,710","43,245","4,901","4,911","7,073","9,122","10,106","7,132","115,431","89,351","11,129","10,458","14,956","19,352","20,516","12,940","57,742","46,112","6,236","5,555","7,933","10,220","10,375","5,793","57,689","43,239","4,893","4,903","7,023","9,132","10,141","7,147","115,305","89,271","11,085","10,382","14,957","19,299","20,618","12,930","57,674","46,088","6,202","5,524","7,928","10,189","10,433","5,812","57,631","43,183","4,883","4,858","7,029","9,110","10,185","7,118","115,239","89,223","11,035","10,319","14,952","19,296","20,691","12,930","57,624","46,061","6,172","5,475","7,941","10,188","10,473","5,812","57,615","43,162","4,863","4,844","7,011","9,108","10,218","7,118"
"충청남도 계룡시 (4425000000)","43,128","31,608","4,911","4,671","8,413","6,958","4,580","2,075","21,495","15,791","2,732","2,329","4,096","3,489","2,215","930","21,633","15,817","2,179","2,342","4,317","3,469","2,365","1,145","43,182","31,666","4,918","4,690","8,385","6,999","4,591","2,083","21,516","15,825","2,742","2,336","4,076","3,517","2,227","927","21,666","15,841","2,176","2,354","4,309","3,482","2,364","1,156","43,235","31,714","4,906","4,691","8,373","7,029","4,641","2,074","21,539","15,842","2,722","2,333","4,077","3,526","2,256","928","21,696","15,872","2,184","2,358","4,296","3,503","2,385","1,146","43,242","31,742","4,895","4,659","8,370","7,052","4,686","2,080","21,542","15,863","2,722","2,329","4,065","3,543","2,266","938","21,700","15,879","2,173","2,330","4,305","3,509","2,420","1,142","43,168","31,710","4,889","4,630","8,326","7,072","4,705","2,088","21,504","15,857","2,722","2,322","4,046","3,547","2,274","946","21,664","15,853","2,167","2,308","4,280","3,525","2,431","1,142","43,209","31,766","4,887","4,634","8,298","7,093","4,762","2,092","21,529","15,904","2,741","2,324","4,033","3,564","2,293","949","21,680","15,862","2,146","2,310","4,265","3,529","2,469","1,143"
