"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_20~29세","2022년09월_계_30~39세","2022년09월_계_40~49세","2022년09월_계_50~59세","2022년09월_계_60~69세","2022년09월_계_70~79세","2022년09월_남_총인구수","2022년09월_남_연령구간인구수","2022년09월_남_20~29세","2022년09월_남_30~39세","2022년09월_남_40~49세","2022년09월_남_50~59세","2022년09월_남_60~69세","2022년09월_남_70~79세","2022년09월_여_총인구수","2022년09월_여_연령구간인구수","2022년09월_여_20~29세","2022년09월_여_30~39세","2022년09월_여_40~49세","2022년09월_여_50~59세","2022년09월_여_60~69세","2022년09월_여_70~79세","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_20~29세","2022년10월_계_30~39세","2022년10월_계_40~49세","2022년10월_계_50~59세","2022년10월_계_60~69세","2022년10월_계_70~79세","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_20~29세","2022년10월_남_30~39세","2022년10월_남_40~49세","2022년10월_남_50~59세","2022년10월_남_60~69세","2022년10월_남_70~79세","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_20~29세","2022년10월_여_30~39세","2022년10월_여_40~49세","2022년10월_여_50~59세","2022년10월_여_60~69세","2022년10월_여_70~79세","2022년11월_계_총인구수","2022년11월_계_연령구간인구수","2022년11월_계_20~29세","2022년11월_계_30~39세","2022년11월_계_40~49세","2022년11월_계_50~59세","2022년11월_계_60~69세","2022년11월_계_70~79세","2022년11월_남_총인구수","2022년11월_남_연령구간인구수","2022년11월_남_20~29세","2022년11월_남_30~39세","2022년11월_남_40~49세","2022년11월_남_50~59세","2022년11월_남_60~69세","2022년11월_남_70~79세","2022년11월_여_총인구수","2022년11월_여_연령구간인구수","2022년11월_여_20~29세","2022년11월_여_30~39세","2022년11월_여_40~49세","2022년11월_여_50~59세","2022년11월_여_60~69세","2022년11월_여_70~79세","2022년12월_계_총인구수","2022년12월_계_연령구간인구수","2022년12월_계_20~29세","2022년12월_계_30~39세","2022년12월_계_40~49세","2022년12월_계_50~59세","2022년12월_계_60~69세","2022년12월_계_70~79세","2022년12월_남_총인구수","2022년12월_남_연령구간인구수","2022년12월_남_20~29세","2022년12월_남_30~39세","2022년12월_남_40~49세","2022년12월_남_50~59세","2022년12월_남_60~69세","2022년12월_남_70~79세","2022년12월_여_총인구수","2022년12월_여_연령구간인구수","2022년12월_여_20~29세","2022년12월_여_30~39세","2022년12월_여_40~49세","2022년12월_여_50~59세","2022년12월_여_60~69세","2022년12월_여_70~79세","2023년01월_계_총인구수","2023년01월_계_연령구간인구수","2023년01월_계_20~29세","2023년01월_계_30~39세","2023년01월_계_40~49세","2023년01월_계_50~59세","2023년01월_계_60~69세","2023년01월_계_70~79세","2023년01월_남_총인구수","2023년01월_남_연령구간인구수","2023년01월_남_20~29세","2023년01월_남_30~39세","2023년01월_남_40~49세","2023년01월_남_50~59세","2023년01월_남_60~69세","2023년01월_남_70~79세","2023년01월_여_총인구수","2023년01월_여_연령구간인구수","2023년01월_여_20~29세","2023년01월_여_30~39세","2023년01월_여_40~49세","2023년01월_여_50~59세","2023년01월_여_60~69세","2023년01월_여_70~79세"
"충청남도  (4400000000)","2,121,082","1,639,042","233,240","254,424","327,326","341,516","307,968","174,568","1,085,209","859,079","129,431","137,541","174,191","181,376","155,453","81,087","1,035,873","779,963","103,809","116,883","153,135","160,140","152,515","93,481","2,120,269","1,638,475","232,508","254,083","327,190","341,076","308,988","174,630","1,084,756","858,834","129,026","137,318","174,103","181,121","156,067","81,199","1,035,513","779,641","103,482","116,765","153,087","159,955","152,921","93,431","2,121,333","1,638,876","232,013","254,017","326,980","340,912","310,765","174,189","1,085,425","859,351","128,748","137,334","173,943","181,098","157,087","81,141","1,035,908","779,525","103,265","116,683","153,037","159,814","153,678","93,048","2,122,357","1,640,024","231,639","253,735","327,285","340,907","312,420","174,038","1,086,076","860,108","128,595","137,229","174,077","181,074","158,032","81,101","1,036,281","779,916","103,044","116,506","153,208","159,833","154,388","92,937","2,123,037","1,640,918","231,139","253,435","327,001","341,662","313,734","173,947","1,086,632","860,790","128,393","137,121","173,888","181,501","158,781","81,106","1,036,405","780,128","102,746","116,314","153,113","160,161","154,953","92,841","2,122,913","1,641,237","230,383","252,533","327,050","341,901","315,223","174,147","1,086,686","861,093","128,001","136,637","173,904","181,617","159,661","81,273","1,036,227","780,144","102,382","115,896","153,146","160,284","155,562","92,874"
"충청남도 천안시 (4413000000)","657,612","515,268","93,273","100,105","112,258","104,980","72,652","32,000","336,524","266,841","49,522","53,411","58,453","53,741","36,926","14,788","321,088","248,427","43,751","46,694","53,805","51,239","35,726","17,212","657,210","515,024","92,905","99,881","112,292","104,896","72,987","32,063","336,312","266,724","49,342","53,286","58,462","53,702","37,102","14,830","320,898","248,300","43,563","46,595","53,830","51,194","35,885","17,233","657,701","515,540","92,689","99,919","112,301","104,973","73,612","32,046","336,644","267,055","49,232","53,359","58,445","53,754","37,431","14,834","321,057","248,485","43,457","46,560","53,856","51,219","36,181","17,212","657,821","515,769","92,425","99,827","112,431","104,889","74,139","32,058","336,790","267,250","49,148","53,316","58,479","53,740","37,702","14,865","321,031","248,519","43,277","46,511","53,952","51,149","36,437","17,193","657,559","515,841","92,020","99,599","112,393","105,135","74,559","32,135","336,716","267,356","48,940","53,241","58,485","53,833","37,944","14,913","320,843","248,485","43,080","46,358","53,908","51,302","36,615","17,222","656,955","515,666","91,632","98,998","112,452","105,325","75,014","32,245","336,403","267,255","48,761","52,898","58,523","53,942","38,150","14,981","320,552","248,411","42,871","46,100","53,929","51,383","36,864","17,264"
"충청남도 천안시 동남구 (4413100000)","255,997","202,470","34,186","31,269","41,831","43,612","35,168","16,404","129,883","104,037","18,194","16,645","21,574","22,254","17,704","7,666","126,114","98,433","15,992","14,624","20,257","21,358","17,464","8,738","255,655","202,200","34,009","31,175","41,783","43,566","35,258","16,409","129,659","103,872","18,102","16,593","21,526","22,237","17,744","7,670","125,996","98,328","15,907","14,582","20,257","21,329","17,514","8,739","255,724","202,310","33,975","31,180","41,730","43,524","35,497","16,404","129,699","103,931","18,069","16,619","21,490","22,206","17,872","7,675","126,025","98,379","15,906","14,561","20,240","21,318","17,625","8,729","255,640","202,318","33,920","31,124","41,665","43,482","35,713","16,414","129,687","103,956","18,047","16,594","21,446","22,181","18,000","7,688","125,953","98,362","15,873","14,530","20,219","21,301","17,713","8,726","255,647","202,404","33,787","31,051","41,617","43,580","35,914","16,455","129,680","104,001","17,978","16,557","21,438","22,220","18,106","7,702","125,967","98,403","15,809","14,494","20,179","21,360","17,808","8,753","255,892","202,710","33,750","31,006","41,636","43,671","36,144","16,503","129,748","104,124","17,963","16,528","21,419","22,262","18,224","7,728","126,144","98,586","15,787","14,478","20,217","21,409","17,920","8,775"
"충청남도 천안시 서북구 (4413300000)","401,615","312,798","59,087","68,836","70,427","61,368","37,484","15,596","206,641","162,804","31,328","36,766","36,879","31,487","19,222","7,122","194,974","149,994","27,759","32,070","33,548","29,881","18,262","8,474","401,555","312,824","58,896","68,706","70,509","61,330","37,729","15,654","206,653","162,852","31,240","36,693","36,936","31,465","19,358","7,160","194,902","149,972","27,656","32,013","33,573","29,865","18,371","8,494","401,977","313,230","58,714","68,739","70,571","61,449","38,115","15,642","206,945","163,124","31,163","36,740","36,955","31,548","19,559","7,159","195,032","150,106","27,551","31,999","33,616","29,901","18,556","8,483","402,181","313,451","58,505","68,703","70,766","61,407","38,426","15,644","207,103","163,294","31,101","36,722","37,033","31,559","19,702","7,177","195,078","150,157","27,404","31,981","33,733","29,848","18,724","8,467","401,912","313,437","58,233","68,548","70,776","61,555","38,645","15,680","207,036","163,355","30,962","36,684","37,047","31,613","19,838","7,211","194,876","150,082","27,271","31,864","33,729","29,942","18,807","8,469","401,063","312,956","57,882","67,992","70,816","61,654","38,870","15,742","206,655","163,131","30,798","36,370","37,104","31,680","19,926","7,253","194,408","149,825","27,084","31,622","33,712","29,974","18,944","8,489"
"충청남도 공주시 (4415000000)","102,917","81,058","10,927","8,621","12,633","17,499","19,881","11,497","51,379","41,642","5,909","4,675","6,638","9,028","9,955","5,437","51,538","39,416","5,018","3,946","5,995","8,471","9,926","6,060","102,848","80,985","10,925","8,629","12,564","17,427","19,949","11,491","51,342","41,617","5,897","4,673","6,595","9,010","9,992","5,450","51,506","39,368","5,028","3,956","5,969","8,417","9,957","6,041","102,768","80,914","10,940","8,609","12,515","17,386","20,010","11,454","51,294","41,582","5,902","4,651","6,588","8,976","10,030","5,435","51,474","39,332","5,038","3,958","5,927","8,410","9,980","6,019","102,651","80,841","10,931","8,583","12,492","17,352","20,062","11,421","51,258","41,566","5,898","4,645","6,559","8,966","10,079","5,419","51,393","39,275","5,033","3,938","5,933","8,386","9,983","6,002","102,571","80,797","10,887","8,564","12,459","17,344","20,112","11,431","51,231","41,552","5,876","4,640","6,536","8,967","10,104","5,429","51,340","39,245","5,011","3,924","5,923","8,377","10,008","6,002","102,460","80,763","10,830","8,531","12,425","17,286","20,221","11,470","51,208","41,559","5,834","4,642","6,518","8,933","10,167","5,465","51,252","39,204","4,996","3,889","5,907","8,353","10,054","6,005"
"충청남도 보령시 (4418000000)","97,532","76,495","8,747","8,478","13,136","16,411","18,230","11,493","49,454","40,011","5,090","4,632","7,188","8,821","9,052","5,228","48,078","36,484","3,657","3,846","5,948","7,590","9,178","6,265","97,402","76,399","8,730","8,438","13,093","16,366","18,277","11,495","49,378","39,954","5,076","4,608","7,173","8,771","9,088","5,238","48,024","36,445","3,654","3,830","5,920","7,595","9,189","6,257","97,268","76,245","8,641","8,448","13,029","16,313","18,354","11,460","49,291","39,880","5,023","4,613","7,135","8,751","9,125","5,233","47,977","36,365","3,618","3,835","5,894","7,562","9,229","6,227","97,188","76,175","8,586","8,441","12,986","16,295","18,426","11,441","49,231","39,837","4,976","4,622","7,110","8,737","9,174","5,218","47,957","36,338","3,610","3,819","5,876","7,558","9,252","6,223","97,157","76,163","8,594","8,436","12,924","16,330","18,463","11,416","49,237","39,848","4,982","4,620","7,065","8,765","9,214","5,202","47,920","36,315","3,612","3,816","5,859","7,565","9,249","6,214","96,999","76,053","8,529","8,407","12,863","16,309","18,540","11,405","49,154","39,796","4,936","4,613","7,039","8,743","9,256","5,209","47,845","36,257","3,593","3,794","5,824","7,566","9,284","6,196"
"충청남도 아산시 (4420000000)","331,806","251,648","37,561","48,604","60,496","49,727","36,469","18,791","172,844","133,699","20,971","26,001","32,709","27,052","18,458","8,508","158,962","117,949","16,590","22,603","27,787","22,675","18,011","10,283","332,361","252,170","37,630","48,655","60,625","49,769","36,645","18,846","173,123","133,976","21,020","26,032","32,753","27,059","18,571","8,541","159,238","118,194","16,610","22,623","27,872","22,710","18,074","10,305","332,790","252,504","37,607","48,609","60,688","49,859","36,878","18,863","173,385","134,210","21,036","25,992","32,796","27,121","18,717","8,548","159,405","118,294","16,571","22,617","27,892","22,738","18,161","10,315","333,602","253,182","37,613","48,585","60,936","50,005","37,131","18,912","173,842","134,557","21,035","25,979","32,936","27,184","18,868","8,555","159,760","118,625","16,578","22,606","28,000","22,821","18,263","10,357","334,539","253,889","37,614","48,659","61,134","50,193","37,374","18,915","174,333","134,937","21,059","26,002","33,009","27,306","19,004","8,557","160,206","118,952","16,555","22,657","28,125","22,887","18,370","10,358","336,098","255,057","37,674","48,970","61,417","50,389","37,618","18,989","175,146","135,548","21,074","26,150","33,176","27,384","19,169","8,595","160,952","119,509","16,600","22,820","28,241","23,005","18,449","10,394"
"충청남도 서산시 (4421000000)","176,512","134,980","18,498","21,035","27,832","28,805","24,590","14,220","92,059","72,446","11,164","11,808","14,822","15,455","12,369","6,828","84,453","62,534","7,334","9,227","13,010","13,350","12,221","7,392","176,291","134,768","18,398","20,994","27,732","28,782","24,657","14,205","91,955","72,352","11,110","11,796","14,766","15,432","12,427","6,821","84,336","62,416","7,288","9,198","12,966","13,350","12,230","7,384","176,312","134,682","18,303","21,001","27,680","28,778","24,767","14,153","91,940","72,301","11,042","11,795","14,720","15,439","12,498","6,807","84,372","62,381","7,261","9,206","12,960","13,339","12,269","7,346","176,440","134,844","18,335","20,968","27,677","28,846","24,851","14,167","92,003","72,389","11,063","11,765","14,725","15,467","12,546","6,823","84,437","62,455","7,272","9,203","12,952","13,379","12,305","7,344","176,413","134,844","18,283","20,897","27,603","28,960","24,922","14,179","92,011","72,405","11,038","11,738","14,687","15,511","12,583","6,848","84,402","62,439","7,245","9,159","12,916","13,449","12,339","7,331","176,341","134,879","18,265","20,771","27,625","28,970","25,035","14,213","91,977","72,446","11,044","11,674","14,713","15,503","12,654","6,858","84,364","62,433","7,221","9,097","12,912","13,467","12,381","7,355"
"충청남도 논산시 (4423000000)","113,323","87,815","10,420","9,931","14,348","19,072","21,214","12,830","56,572","45,380","5,865","5,297","7,583","10,064","10,754","5,817","56,751","42,435","4,555","4,634","6,765","9,008","10,460","7,013","113,018","87,539","10,350","9,881","14,277","18,965","21,244","12,822","56,397","45,226","5,813","5,257","7,572","9,998","10,763","5,823","56,621","42,313","4,537","4,624","6,705","8,967","10,481","6,999","112,939","87,413","10,283","9,898","14,219","18,881","21,379","12,753","56,356","45,182","5,772","5,271","7,534","9,967","10,832","5,806","56,583","42,231","4,511","4,627","6,685","8,914","10,547","6,947","112,842","87,365","10,248","9,906","14,172","18,839","21,459","12,741","56,321","45,180","5,751","5,281","7,529","9,934","10,875","5,810","56,521","42,185","4,497","4,625","6,643","8,905","10,584","6,931","112,617","87,214","10,225","9,854","14,105","18,822","21,494","12,714","56,237","45,135","5,760","5,259","7,491","9,927","10,899","5,799","56,380","42,079","4,465","4,595","6,614","8,895","10,595","6,915","112,399","87,071","10,180","9,741","14,054","18,822","21,565","12,709","56,136","45,065","5,729","5,199","7,474","9,921","10,944","5,798","56,263","42,006","4,451","4,542","6,580","8,901","10,621","6,911"
"충청남도 계룡시 (4425000000)","43,397","32,185","4,656","4,672","8,191","7,338","5,084","2,244","21,650","16,163","2,613","2,407","3,947","3,692","2,437","1,067","21,747","16,022","2,043","2,265","4,244","3,646","2,647","1,177","43,843","32,539","4,682","4,804","8,264","7,400","5,128","2,261","21,861","16,328","2,627","2,475","3,974","3,725","2,450","1,077","21,982","16,211","2,055","2,329","4,290","3,675","2,678","1,184","44,155","32,777","4,686","4,840","8,313","7,474","5,173","2,291","22,018","16,440","2,626","2,495","3,995","3,764","2,480","1,080","22,137","16,337","2,060","2,345","4,318","3,710","2,693","1,211","44,328","32,949","4,712","4,847","8,325","7,520","5,243","2,302","22,081","16,509","2,636","2,499","4,002","3,773","2,510","1,089","22,247","16,440","2,076","2,348","4,323","3,747","2,733","1,213","44,475","33,121","4,753","4,868","8,339","7,547","5,304","2,310","22,166","16,601","2,662","2,516","4,007","3,792","2,528","1,096","22,309","16,520","2,091","2,352","4,332","3,755","2,776","1,214","44,425","33,140","4,785","4,842","8,288","7,556","5,345","2,324","22,147","16,617","2,689","2,498","3,985","3,797","2,549","1,099","22,278","16,523","2,096","2,344","4,303","3,759","2,796","1,225"
