"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_남_총인구수","2021년08월_남_연령구간인구수","2021년08월_남_20~29세","2021년08월_남_30~39세","2021년08월_남_40~49세","2021년08월_남_50~59세","2021년08월_남_60~69세","2021년08월_남_70~79세","2021년08월_여_총인구수","2021년08월_여_연령구간인구수","2021년08월_여_20~29세","2021년08월_여_30~39세","2021년08월_여_40~49세","2021년08월_여_50~59세","2021년08월_여_60~69세","2021년08월_여_70~79세","2021년09월_계_총인구수","2021년09월_계_연령구간인구수","2021년09월_계_20~29세","2021년09월_계_30~39세","2021년09월_계_40~49세","2021년09월_계_50~59세","2021년09월_계_60~69세","2021년09월_계_70~79세","2021년09월_남_총인구수","2021년09월_남_연령구간인구수","2021년09월_남_20~29세","2021년09월_남_30~39세","2021년09월_남_40~49세","2021년09월_남_50~59세","2021년09월_남_60~69세","2021년09월_남_70~79세","2021년09월_여_총인구수","2021년09월_여_연령구간인구수","2021년09월_여_20~29세","2021년09월_여_30~39세","2021년09월_여_40~49세","2021년09월_여_50~59세","2021년09월_여_60~69세","2021년09월_여_70~79세","2021년10월_계_총인구수","2021년10월_계_연령구간인구수","2021년10월_계_20~29세","2021년10월_계_30~39세","2021년10월_계_40~49세","2021년10월_계_50~59세","2021년10월_계_60~69세","2021년10월_계_70~79세","2021년10월_남_총인구수","2021년10월_남_연령구간인구수","2021년10월_남_20~29세","2021년10월_남_30~39세","2021년10월_남_40~49세","2021년10월_남_50~59세","2021년10월_남_60~69세","2021년10월_남_70~79세","2021년10월_여_총인구수","2021년10월_여_연령구간인구수","2021년10월_여_20~29세","2021년10월_여_30~39세","2021년10월_여_40~49세","2021년10월_여_50~59세","2021년10월_여_60~69세","2021년10월_여_70~79세","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_남_총인구수","2021년11월_남_연령구간인구수","2021년11월_남_20~29세","2021년11월_남_30~39세","2021년11월_남_40~49세","2021년11월_남_50~59세","2021년11월_남_60~69세","2021년11월_남_70~79세","2021년11월_여_총인구수","2021년11월_여_연령구간인구수","2021년11월_여_20~29세","2021년11월_여_30~39세","2021년11월_여_40~49세","2021년11월_여_50~59세","2021년11월_여_60~69세","2021년11월_여_70~79세","2021년12월_계_총인구수","2021년12월_계_연령구간인구수","2021년12월_계_20~29세","2021년12월_계_30~39세","2021년12월_계_40~49세","2021년12월_계_50~59세","2021년12월_계_60~69세","2021년12월_계_70~79세","2021년12월_남_총인구수","2021년12월_남_연령구간인구수","2021년12월_남_20~29세","2021년12월_남_30~39세","2021년12월_남_40~49세","2021년12월_남_50~59세","2021년12월_남_60~69세","2021년12월_남_70~79세","2021년12월_여_총인구수","2021년12월_여_연령구간인구수","2021년12월_여_20~29세","2021년12월_여_30~39세","2021년12월_여_40~49세","2021년12월_여_50~59세","2021년12월_여_60~69세","2021년12월_여_70~79세","2022년01월_계_총인구수","2022년01월_계_연령구간인구수","2022년01월_계_20~29세","2022년01월_계_30~39세","2022년01월_계_40~49세","2022년01월_계_50~59세","2022년01월_계_60~69세","2022년01월_계_70~79세","2022년01월_남_총인구수","2022년01월_남_연령구간인구수","2022년01월_남_20~29세","2022년01월_남_30~39세","2022년01월_남_40~49세","2022년01월_남_50~59세","2022년01월_남_60~69세","2022년01월_남_70~79세","2022년01월_여_총인구수","2022년01월_여_연령구간인구수","2022년01월_여_20~29세","2022년01월_여_30~39세","2022년01월_여_40~49세","2022년01월_여_50~59세","2022년01월_여_60~69세","2022년01월_여_70~79세"
"충청남도  (4400000000)","2,118,183","1,632,740","239,796","261,608","325,856","338,059","295,834","171,587","1,082,664","853,600","132,716","140,950","173,764","179,216","148,518","78,436","1,035,519","779,140","107,080","120,658","152,092","158,843","147,316","93,151","2,118,098","1,633,113","239,126","260,929","325,499","338,834","296,974","171,751","1,082,596","853,837","132,241","140,621","173,549","179,653","149,145","78,628","1,035,502","779,276","106,885","120,308","151,950","159,181","147,829","93,123","2,118,977","1,634,523","238,870","260,636","325,285","339,646","297,973","172,113","1,083,133","854,677","132,097","140,454","173,349","180,330","149,593","78,854","1,035,844","779,846","106,773","120,182","151,936","159,316","148,380","93,259","2,119,529","1,635,700","238,690","260,233","325,143","340,365","299,047","172,222","1,083,419","855,371","131,927","140,298","173,266","180,771","150,144","78,965","1,036,110","780,329","106,763","119,935","151,877","159,594","148,903","93,257","2,119,257","1,635,740","238,297","259,565","325,419","340,591","299,801","172,067","1,083,366","855,599","131,774","139,987","173,385","180,799","150,583","79,071","1,035,891","780,141","106,523","119,578","152,034","159,792","149,218","92,996","2,118,638","1,635,230","237,598","258,236","325,701","340,368","301,137","172,190","1,083,242","855,692","131,451","139,286","173,529","180,650","151,452","79,324","1,035,396","779,538","106,147","118,950","152,172","159,718","149,685","92,866"
"충청남도 천안시 (4413000000)","657,250","511,628","95,438","102,712","111,426","103,088","68,506","30,458","335,811","264,139","50,206","54,682","57,824","52,930","34,645","13,852","321,439","247,489","45,232","48,030","53,602","50,158","33,861","16,606","657,703","512,386","95,609","102,555","111,388","103,429","68,880","30,525","336,088","264,596","50,305","54,632","57,820","53,101","34,844","13,894","321,615","247,790","45,304","47,923","53,568","50,328","34,036","16,631","658,107","513,040","95,503","102,519","111,471","103,669","69,259","30,619","336,326","264,965","50,266","54,599","57,844","53,257","35,042","13,957","321,781","248,075","45,237","47,920","53,627","50,412","34,217","16,662","658,465","513,611","95,353","102,419","111,540","103,951","69,655","30,693","336,545","265,301","50,195","54,598","57,922","53,368","35,224","13,994","321,920","248,310","45,158","47,821","53,618","50,583","34,431","16,699","658,486","513,806","95,113","102,296","111,649","104,130","69,859","30,759","336,612","265,437","50,082","54,514","58,026","53,407","35,361","14,047","321,874","248,369","45,031","47,782","53,623","50,723","34,498","16,712","658,150","513,865","94,979","101,710","111,774","104,184","70,343","30,875","336,552","265,599","50,089","54,177","58,153","53,410","35,629","14,141","321,598","248,266","44,890","47,533","53,621","50,774","34,714","16,734"
"충청남도 천안시 동남구 (4413100000)","255,532","200,928","34,738","32,026","41,920","43,183","33,412","15,649","129,501","102,919","18,393","16,851","21,662","21,977","16,813","7,223","126,031","98,009","16,345","15,175","20,258","21,206","16,599","8,426","255,494","201,047","34,768","31,910","41,865","43,257","33,564","15,683","129,472","102,970","18,398","16,807","21,640","21,997","16,885","7,243","126,022","98,077","16,370","15,103","20,225","21,260","16,679","8,440","255,504","201,186","34,763","31,852","41,838","43,292","33,702","15,739","129,471","103,046","18,411","16,785","21,579","22,042","16,961","7,268","126,033","98,140","16,352","15,067","20,259","21,250","16,741","8,471","255,471","201,268","34,631","31,761","41,839","43,367","33,902","15,768","129,473","103,108","18,343","16,773","21,587","22,068","17,054","7,283","125,998","98,160","16,288","14,988","20,252","21,299","16,848","8,485","255,292","201,253","34,563","31,663","41,824","43,402","33,990","15,811","129,399","103,134","18,306","16,755","21,582","22,041","17,127","7,323","125,893","98,119","16,257","14,908","20,242","21,361","16,863","8,488","255,273","201,262","34,503","31,507","41,845","43,393","34,164","15,850","129,441","103,202","18,312","16,651","21,623","22,051","17,197","7,368","125,832","98,060","16,191","14,856","20,222","21,342","16,967","8,482"
"충청남도 천안시 서북구 (4413300000)","401,718","310,700","60,700","70,686","69,506","59,905","35,094","14,809","206,310","161,220","31,813","37,831","36,162","30,953","17,832","6,629","195,408","149,480","28,887","32,855","33,344","28,952","17,262","8,180","402,209","311,339","60,841","70,645","69,523","60,172","35,316","14,842","206,616","161,626","31,907","37,825","36,180","31,104","17,959","6,651","195,593","149,713","28,934","32,820","33,343","29,068","17,357","8,191","402,603","311,854","60,740","70,667","69,633","60,377","35,557","14,880","206,855","161,919","31,855","37,814","36,265","31,215","18,081","6,689","195,748","149,935","28,885","32,853","33,368","29,162","17,476","8,191","402,994","312,343","60,722","70,658","69,701","60,584","35,753","14,925","207,072","162,193","31,852","37,825","36,335","31,300","18,170","6,711","195,922","150,150","28,870","32,833","33,366","29,284","17,583","8,214","403,194","312,553","60,550","70,633","69,825","60,728","35,869","14,948","207,213","162,303","31,776","37,759","36,444","31,366","18,234","6,724","195,981","150,250","28,774","32,874","33,381","29,362","17,635","8,224","402,877","312,603","60,476","70,203","69,929","60,791","36,179","15,025","207,111","162,397","31,777","37,526","36,530","31,359","18,432","6,773","195,766","150,206","28,699","32,677","33,399","29,432","17,747","8,252"
"충청남도 공주시 (4415000000)","103,386","81,587","10,898","9,104","12,995","17,900","19,304","11,386","51,672","41,871","5,976","4,881","6,850","9,230","9,688","5,246","51,714","39,716","4,922","4,223","6,145","8,670","9,616","6,140","103,329","81,536","10,879","9,044","12,936","17,908","19,376","11,393","51,631","41,837","5,959","4,851","6,837","9,215","9,715","5,260","51,698","39,699","4,920","4,193","6,099","8,693","9,661","6,133","103,321","81,556","10,924","9,019","12,912","17,879","19,431","11,391","51,613","41,828","5,960","4,848","6,815","9,216","9,731","5,258","51,708","39,728","4,964","4,171","6,097","8,663","9,700","6,133","103,301","81,558","10,913","8,991","12,881","17,883","19,486","11,404","51,580","41,820","5,939","4,846","6,792","9,231","9,748","5,264","51,721","39,738","4,974","4,145","6,089","8,652","9,738","6,140","103,145","81,470","10,904","8,926","12,846","17,853","19,508","11,433","51,459","41,747","5,913","4,816","6,768","9,198","9,761","5,291","51,686","39,723","4,991","4,110","6,078","8,655","9,747","6,142","103,021","81,356","10,856","8,872","12,821","17,780","19,588","11,439","51,423","41,719","5,884","4,794","6,746","9,160","9,809","5,326","51,598","39,637","4,972","4,078","6,075","8,620","9,779","6,113"
"충청남도 보령시 (4418000000)","98,726","77,429","9,241","9,034","13,444","16,611","17,808","11,291","50,108","40,504","5,473","4,912","7,382","8,879","8,762","5,096","48,618","36,925","3,768","4,122","6,062","7,732","9,046","6,195","98,620","77,343","9,138","8,998","13,420","16,603","17,868","11,316","50,024","40,434","5,393","4,883","7,365","8,872","8,800","5,121","48,596","36,909","3,745","4,115","6,055","7,731","9,068","6,195","98,535","77,293","9,116","8,961","13,380","16,629","17,874","11,333","49,996","40,420","5,378","4,869","7,327","8,907","8,813","5,126","48,539","36,873","3,738","4,092","6,053","7,722","9,061","6,207","98,438","77,224","9,091","8,933","13,333","16,656","17,881","11,330","49,941","40,381","5,353","4,861","7,281","8,933","8,820","5,133","48,497","36,843","3,738","4,072","6,052","7,723","9,061","6,197","98,408","77,169","9,094","8,848","13,356","16,641","17,910","11,320","49,933","40,354","5,348","4,823","7,290","8,916","8,844","5,133","48,475","36,815","3,746","4,025","6,066","7,725","9,066","6,187","98,142","76,968","9,025","8,792","13,291","16,576","17,930","11,354","49,781","40,247","5,297","4,795","7,251","8,884","8,870","5,150","48,361","36,721","3,728","3,997","6,040","7,692","9,060","6,204"
"충청남도 아산시 (4420000000)","322,158","243,573","37,427","48,347","57,703","47,557","34,276","18,263","167,478","129,147","20,884","25,825","31,289","25,770","17,211","8,168","154,680","114,426","16,543","22,522","26,414","21,787","17,065","10,095","322,893","244,212","37,423","48,413","57,755","47,813","34,553","18,255","167,891","129,508","20,862","25,869","31,313","25,930","17,361","8,173","155,002","114,704","16,561","22,544","26,442","21,883","17,192","10,082","323,789","244,975","37,401","48,512","57,866","48,104","34,782","18,310","168,355","129,890","20,846","25,915","31,372","26,101","17,467","8,189","155,434","115,085","16,555","22,597","26,494","22,003","17,315","10,121","324,552","245,764","37,529","48,485","58,066","48,364","34,955","18,365","168,792","130,306","20,886","25,874","31,495","26,273","17,569","8,209","155,760","115,458","16,643","22,611","26,571","22,091","17,386","10,156","324,580","245,874","37,503","48,272","58,246","48,416","35,069","18,368","168,881","130,451","20,910","25,783","31,589","26,313","17,629","8,227","155,699","115,423","16,593","22,489","26,657","22,103","17,440","10,141","325,412","246,462","37,456","48,147","58,640","48,544","35,272","18,403","169,380","130,826","20,899","25,705","31,778","26,412","17,775","8,257","156,032","115,636","16,557","22,442","26,862","22,132","17,497","10,146"
"충청남도 서산시 (4421000000)","176,360","134,505","19,015","21,787","27,790","28,474","23,451","13,988","92,005","72,016","11,370","12,106","14,870","15,289","11,798","6,583","84,355","62,489","7,645","9,681","12,920","13,185","11,653","7,405","176,491","134,635","18,985","21,738","27,796","28,580","23,543","13,993","92,022","72,039","11,329","12,074","14,864","15,333","11,845","6,594","84,469","62,596","7,656","9,664","12,932","13,247","11,698","7,399","176,595","134,801","18,959","21,693","27,803","28,683","23,609","14,054","92,067","72,137","11,302","12,063","14,870","15,413","11,852","6,637","84,528","62,664","7,657","9,630","12,933","13,270","11,757","7,417","176,610","134,916","18,949","21,667","27,759","28,758","23,717","14,066","92,088","72,221","11,304","12,076","14,836","15,450","11,912","6,643","84,522","62,695","7,645","9,591","12,923","13,308","11,805","7,423","176,645","134,899","18,885","21,597","27,812","28,792","23,804","14,009","92,122","72,247","11,297","12,055","14,839","15,480","11,936","6,640","84,523","62,652","7,588","9,542","12,973","13,312","11,868","7,369","176,630","134,802","18,863","21,492","27,807","28,746","23,936","13,958","92,088","72,208","11,287","12,000","14,829","15,445","12,026","6,621","84,542","62,594","7,576","9,492","12,978","13,301","11,910","7,337"
"충청남도 논산시 (4423000000)","115,155","89,123","10,976","10,329","14,892","19,252","20,780","12,894","57,567","46,016","6,148","5,489","7,906","10,166","10,505","5,802","57,588","43,107","4,828","4,840","6,986","9,086","10,275","7,092","114,942","88,958","10,869","10,289","14,846","19,228","20,825","12,901","57,426","45,899","6,064","5,478","7,875","10,150","10,516","5,816","57,516","43,059","4,805","4,811","6,971","9,078","10,309","7,085","114,769","88,830","10,823","10,247","14,736","19,264","20,866","12,894","57,304","45,801","6,025","5,451","7,802","10,184","10,524","5,815","57,465","43,029","4,798","4,796","6,934","9,080","10,342","7,079","114,662","88,800","10,828","10,241","14,683","19,263","20,899","12,886","57,269","45,819","6,041","5,443","7,769","10,210","10,528","5,828","57,393","42,981","4,787","4,798","6,914","9,053","10,371","7,058","114,483","88,648","10,792","10,191","14,649","19,240","20,943","12,833","57,147","45,724","6,016","5,418","7,743","10,190","10,547","5,810","57,336","42,924","4,776","4,773","6,906","9,050","10,396","7,023","114,430","88,592","10,793","10,156","14,604","19,214","21,016","12,809","57,108","45,697","6,007","5,401","7,722","10,165","10,600","5,802","57,322","42,895","4,786","4,755","6,882","9,049","10,416","7,007"
"충청남도 계룡시 (4425000000)","43,279","31,833","4,874","4,640","8,279","7,119","4,823","2,098","21,544","15,916","2,731","2,318","4,024","3,568","2,320","955","21,735","15,917","2,143","2,322","4,255","3,551","2,503","1,143","43,191","31,793","4,844","4,590","8,264","7,158","4,833","2,104","21,492","15,884","2,708","2,291","4,016","3,577","2,325","967","21,699","15,909","2,136","2,299","4,248","3,581","2,508","1,137","43,093","31,744","4,827","4,535","8,230","7,188","4,844","2,120","21,469","15,876","2,706","2,266","3,995","3,600","2,330","979","21,624","15,868","2,121","2,269","4,235","3,588","2,514","1,141","43,105","31,763","4,819","4,544","8,198","7,198","4,886","2,118","21,465","15,887","2,692","2,274","3,971","3,614","2,346","990","21,640","15,876","2,127","2,270","4,227","3,584","2,540","1,128","43,331","32,014","4,871","4,650","8,215","7,224","4,915","2,139","21,563","15,999","2,697","2,336","3,986","3,626","2,353","1,001","21,768","16,015","2,174","2,314","4,229","3,598","2,562","1,138","43,338","32,041","4,859","4,649","8,208","7,226","4,936","2,163","21,593","16,036","2,689","2,356","3,981","3,618","2,372","1,020","21,745","16,005","2,170","2,293","4,227","3,608","2,564","1,143"
