"행정구역","2020년02월_계_총인구수","2020년02월_계_연령구간인구수","2020년02월_계_20~29세","2020년02월_계_30~39세","2020년02월_계_40~49세","2020년02월_계_50~59세","2020년02월_계_60~69세","2020년02월_계_70~79세","2020년02월_남_총인구수","2020년02월_남_연령구간인구수","2020년02월_남_20~29세","2020년02월_남_30~39세","2020년02월_남_40~49세","2020년02월_남_50~59세","2020년02월_남_60~69세","2020년02월_남_70~79세","2020년02월_여_총인구수","2020년02월_여_연령구간인구수","2020년02월_여_20~29세","2020년02월_여_30~39세","2020년02월_여_40~49세","2020년02월_여_50~59세","2020년02월_여_60~69세","2020년02월_여_70~79세","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_남_총인구수","2020년03월_남_연령구간인구수","2020년03월_남_20~29세","2020년03월_남_30~39세","2020년03월_남_40~49세","2020년03월_남_50~59세","2020년03월_남_60~69세","2020년03월_남_70~79세","2020년03월_여_총인구수","2020년03월_여_연령구간인구수","2020년03월_여_20~29세","2020년03월_여_30~39세","2020년03월_여_40~49세","2020년03월_여_50~59세","2020년03월_여_60~69세","2020년03월_여_70~79세","2020년04월_계_총인구수","2020년04월_계_연령구간인구수","2020년04월_계_20~29세","2020년04월_계_30~39세","2020년04월_계_40~49세","2020년04월_계_50~59세","2020년04월_계_60~69세","2020년04월_계_70~79세","2020년04월_남_총인구수","2020년04월_남_연령구간인구수","2020년04월_남_20~29세","2020년04월_남_30~39세","2020년04월_남_40~49세","2020년04월_남_50~59세","2020년04월_남_60~69세","2020년04월_남_70~79세","2020년04월_여_총인구수","2020년04월_여_연령구간인구수","2020년04월_여_20~29세","2020년04월_여_30~39세","2020년04월_여_40~49세","2020년04월_여_50~59세","2020년04월_여_60~69세","2020년04월_여_70~79세","2020년05월_계_총인구수","2020년05월_계_연령구간인구수","2020년05월_계_20~29세","2020년05월_계_30~39세","2020년05월_계_40~49세","2020년05월_계_50~59세","2020년05월_계_60~69세","2020년05월_계_70~79세","2020년05월_남_총인구수","2020년05월_남_연령구간인구수","2020년05월_남_20~29세","2020년05월_남_30~39세","2020년05월_남_40~49세","2020년05월_남_50~59세","2020년05월_남_60~69세","2020년05월_남_70~79세","2020년05월_여_총인구수","2020년05월_여_연령구간인구수","2020년05월_여_20~29세","2020년05월_여_30~39세","2020년05월_여_40~49세","2020년05월_여_50~59세","2020년05월_여_60~69세","2020년05월_여_70~79세","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년07월_계_총인구수","2020년07월_계_연령구간인구수","2020년07월_계_20~29세","2020년07월_계_30~39세","2020년07월_계_40~49세","2020년07월_계_50~59세","2020년07월_계_60~69세","2020년07월_계_70~79세","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세"
"충청남도  (4400000000)","2,120,995","1,622,302","243,748","276,553","329,789","340,568","264,305","167,339","1,081,153","844,123","134,033","148,441","175,745","179,212","131,499","75,193","1,039,842","778,179","109,715","128,112","154,044","161,356","132,806","92,146","2,119,749","1,621,706","243,505","275,275","329,148","340,052","265,905","167,821","1,080,705","844,178","134,042","147,824","175,424","178,984","132,385","75,519","1,039,044","777,528","109,463","127,451","153,724","161,068","133,520","92,302","2,118,457","1,621,247","242,858","274,391","328,812","339,782","267,106","168,298","1,080,256","844,306","133,830","147,388","175,268","178,970","133,052","75,798","1,038,201","776,941","109,028","127,003","153,544","160,812","134,054","92,500","2,118,510","1,622,034","242,676","273,689","328,422","340,033","268,081","169,133","1,080,425","844,915","133,793","146,984","175,047","179,246","133,578","76,267","1,038,085","777,119","108,883","126,705","153,375","160,787","134,503","92,866","2,119,771","1,624,030","242,601","273,346","328,774","339,822","269,787","169,700","1,081,224","846,121","133,872","146,796","175,281","179,227","134,421","76,524","1,038,547","777,909","108,729","126,550","153,493","160,595","135,366","93,176","2,120,692","1,625,715","242,524","272,657","328,943","340,013","271,111","170,467","1,081,752","847,081","133,825","146,459","175,321","179,404","135,133","76,939","1,038,940","778,634","108,699","126,198","153,622","160,609","135,978","93,528"
"충청남도 천안시 (4413000000)","653,816","503,406","95,158","106,580","111,788","101,977","58,753","29,150","333,367","259,048","49,824","56,588","57,517","52,446","29,605","13,068","320,449","244,358","45,334","49,992","54,271","49,531","29,148","16,082","654,259","503,971","95,328","106,424","111,635","102,027","59,374","29,183","333,551","259,348","49,889","56,514","57,458","52,452","29,935","13,100","320,708","244,623","45,439","49,910","54,177","49,575","29,439","16,083","654,251","504,266","95,276","106,218","111,563","102,147","59,760","29,302","333,525","259,507","49,857","56,401","57,491","52,466","30,119","13,173","320,726","244,759","45,419","49,817","54,072","49,681","29,641","16,129","655,192","505,371","95,552","106,271","111,527","102,401","60,133","29,487","333,991","260,084","49,989","56,405","57,507","52,623","30,301","13,259","321,201","245,287","45,563","49,866","54,020","49,778","29,832","16,228","657,514","507,688","95,959","106,884","111,950","102,586","60,665","29,644","335,230","261,329","50,266","56,719","57,776","52,713","30,543","13,312","322,284","246,359","45,693","50,165","54,174","49,873","30,122","16,332","658,280","508,683","96,063","106,891","112,094","102,687","61,103","29,845","335,655","261,883","50,377","56,705","57,825","52,785","30,784","13,407","322,625","246,800","45,686","50,186","54,269","49,902","30,319","16,438"
"충청남도 천안시 동남구 (4413100000)","259,558","202,052","35,479","34,505","43,733","44,176","29,062","15,097","131,703","103,587","18,878","18,129","22,492","22,601","14,598","6,889","127,855","98,465","16,601","16,376","21,241","21,575","14,464","8,208","259,474","202,054","35,552","34,379","43,549","44,099","29,362","15,113","131,579","103,553","18,870","18,050","22,405","22,568","14,752","6,908","127,895","98,501","16,682","16,329","21,144","21,531","14,610","8,205","259,211","201,979","35,518","34,229","43,437","44,077","29,561","15,157","131,359","103,464","18,841","17,965","22,349","22,540","14,838","6,931","127,852","98,515","16,677","16,264","21,088","21,537","14,723","8,226","258,857","201,798","35,457","34,034","43,292","44,099","29,672","15,244","131,186","103,370","18,808","17,852","22,266","22,578","14,890","6,976","127,671","98,428","16,649","16,182","21,026","21,521","14,782","8,268","258,996","202,076","35,475","34,057","43,316","44,075","29,844","15,309","131,239","103,513","18,816","17,838","22,319","22,571","14,970","6,999","127,757","98,563","16,659","16,219","20,997","21,504","14,874","8,310","259,219","202,394","35,500","34,003","43,350","44,052","30,063","15,426","131,361","103,680","18,842","17,816","22,325","22,556","15,104","7,037","127,858","98,714","16,658","16,187","21,025","21,496","14,959","8,389"
"충청남도 천안시 서북구 (4413300000)","394,258","301,354","59,679","72,075","68,055","57,801","29,691","14,053","201,664","155,461","30,946","38,459","35,025","29,845","15,007","6,179","192,594","145,893","28,733","33,616","33,030","27,956","14,684","7,874","394,785","301,917","59,776","72,045","68,086","57,928","30,012","14,070","201,972","155,795","31,019","38,464","35,053","29,884","15,183","6,192","192,813","146,122","28,757","33,581","33,033","28,044","14,829","7,878","395,040","302,287","59,758","71,989","68,126","58,070","30,199","14,145","202,166","156,043","31,016","38,436","35,142","29,926","15,281","6,242","192,874","146,244","28,742","33,553","32,984","28,144","14,918","7,903","396,335","303,573","60,095","72,237","68,235","58,302","30,461","14,243","202,805","156,714","31,181","38,553","35,241","30,045","15,411","6,283","193,530","146,859","28,914","33,684","32,994","28,257","15,050","7,960","398,518","305,612","60,484","72,827","68,634","58,511","30,821","14,335","203,991","157,816","31,450","38,881","35,457","30,142","15,573","6,313","194,527","147,796","29,034","33,946","33,177","28,369","15,248","8,022","399,061","306,289","60,563","72,888","68,744","58,635","31,040","14,419","204,294","158,203","31,535","38,889","35,500","30,229","15,680","6,370","194,767","148,086","29,028","33,999","33,244","28,406","15,360","8,049"
"충청남도 공주시 (4415000000)","106,098","83,299","11,728","10,052","13,767","18,872","17,597","11,283","53,161","42,805","6,489","5,392","7,258","9,787","8,767","5,112","52,937","40,494","5,239","4,660","6,509","9,085","8,830","6,171","105,895","83,129","11,646","10,018","13,691","18,813","17,610","11,351","53,074","42,738","6,468","5,361","7,212","9,766","8,774","5,157","52,821","40,391","5,178","4,657","6,479","9,047","8,836","6,194","105,743","83,013","11,580","9,932","13,662","18,764","17,700","11,375","53,019","42,692","6,430","5,327","7,199","9,745","8,819","5,172","52,724","40,321","5,150","4,605","6,463","9,019","8,881","6,203","105,611","82,915","11,508","9,884","13,613","18,775","17,719","11,416","52,952","42,650","6,388","5,308","7,174","9,742","8,838","5,200","52,659","40,265","5,120","4,576","6,439","9,033","8,881","6,216","105,440","82,816","11,475","9,806","13,590","18,700","17,815","11,430","52,838","42,582","6,390","5,252","7,164","9,676","8,893","5,207","52,602","40,234","5,085","4,554","6,426","9,024","8,922","6,223","105,396","82,817","11,444","9,733","13,577","18,683","17,911","11,469","52,782","42,563","6,364","5,184","7,169","9,673","8,943","5,230","52,614","40,254","5,080","4,549","6,408","9,010","8,968","6,239"
"충청남도 보령시 (4418000000)","100,836","78,760","9,743","9,919","14,225","17,516","16,362","10,995","51,024","40,975","5,650","5,390","7,792","9,270","7,986","4,887","49,812","37,785","4,093","4,529","6,433","8,246","8,376","6,108","100,787","78,728","9,754","9,817","14,226","17,469","16,432","11,030","51,027","40,992","5,675","5,330","7,796","9,254","8,030","4,907","49,760","37,736","4,079","4,487","6,430","8,215","8,402","6,123","100,646","78,595","9,660","9,786","14,177","17,430","16,461","11,081","50,931","40,923","5,619","5,299","7,774","9,258","8,038","4,935","49,715","37,672","4,041","4,487","6,403","8,172","8,423","6,146","100,602","78,544","9,618","9,719","14,166","17,338","16,565","11,138","50,917","40,890","5,605","5,243","7,762","9,227","8,090","4,963","49,685","37,654","4,013","4,476","6,404","8,111","8,475","6,175","100,647","78,610","9,616","9,667","14,185","17,332","16,623","11,187","50,987","40,962","5,626","5,214","7,780","9,241","8,114","4,987","49,660","37,648","3,990","4,453","6,405","8,091","8,509","6,200","100,601","78,607","9,598","9,657","14,127","17,328","16,669","11,228","50,969","40,977","5,619","5,215","7,746","9,241","8,144","5,012","49,632","37,630","3,979","4,442","6,381","8,087","8,525","6,216"
"충청남도 아산시 (4420000000)","313,875","234,299","35,959","50,204","55,393","45,341","29,885","17,517","162,615","123,621","19,851","26,725","30,156","24,404","14,747","7,738","151,260","110,678","16,108","23,479","25,237","20,937","15,138","9,779","313,733","234,293","35,969","49,824","55,376","45,456","30,073","17,595","162,614","123,700","19,913","26,550","30,130","24,462","14,877","7,768","151,119","110,593","16,056","23,274","25,246","20,994","15,196","9,827","313,757","234,421","35,954","49,651","55,414","45,495","30,257","17,650","162,676","123,827","19,951","26,476","30,111","24,516","14,988","7,785","151,081","110,594","16,003","23,175","25,303","20,979","15,269","9,865","313,761","234,526","35,915","49,427","55,450","45,546","30,406","17,782","162,712","123,930","19,965","26,363","30,145","24,532","15,081","7,844","151,049","110,596","15,950","23,064","25,305","21,014","15,325","9,938","313,054","234,043","35,778","48,954","55,388","45,478","30,586","17,859","162,398","123,730","19,918","26,100","30,111","24,533","15,187","7,881","150,656","110,313","15,860","22,854","25,277","20,945","15,399","9,978","313,319","234,407","35,896","48,723","55,563","45,581","30,760","17,884","162,566","123,938","19,943","26,014","30,211","24,582","15,291","7,897","150,753","110,469","15,953","22,709","25,352","20,999","15,469","9,987"
"충청남도 서산시 (4421000000)","174,596","131,886","19,116","22,639","27,755","28,148","20,684","13,544","90,431","69,914","11,222","12,382","14,797","14,915","10,300","6,298","84,165","61,972","7,894","10,257","12,958","13,233","10,384","7,246","174,629","132,019","19,173","22,529","27,783","28,085","20,871","13,578","90,543","70,080","11,266","12,356","14,823","14,918","10,393","6,324","84,086","61,939","7,907","10,173","12,960","13,167","10,478","7,254","174,645","132,110","19,176","22,467","27,764","28,100","20,996","13,607","90,593","70,165","11,281","12,330","14,822","14,948","10,461","6,323","84,052","61,945","7,895","10,137","12,942","13,152","10,535","7,284","174,801","132,327","19,181","22,434","27,795","28,158","21,073","13,686","90,756","70,345","11,282","12,352","14,844","14,999","10,508","6,360","84,045","61,982","7,899","10,082","12,951","13,159","10,565","7,326","174,884","132,506","19,164","22,381","27,839","28,169","21,221","13,732","90,822","70,465","11,272","12,338","14,873","15,006","10,591","6,385","84,062","62,041","7,892","10,043","12,966","13,163","10,630","7,347","175,124","132,791","19,178","22,345","27,876","28,243","21,349","13,800","90,960","70,625","11,283","12,339","14,876","15,055","10,649","6,423","84,164","62,166","7,895","10,006","13,000","13,188","10,700","7,377"
"충청남도 논산시 (4423000000)","118,513","91,530","11,893","11,324","15,964","20,284","19,247","12,818","59,290","47,033","6,674","5,953","8,542","10,598","9,671","5,595","59,223","44,497","5,219","5,371","7,422","9,686","9,576","7,223","118,266","91,326","11,834","11,281","15,874","20,207","19,311","12,819","59,175","46,942","6,649","5,929","8,494","10,551","9,717","5,602","59,091","44,384","5,185","5,352","7,380","9,656","9,594","7,217","118,032","91,110","11,736","11,194","15,836","20,147","19,365","12,832","59,039","46,835","6,600","5,881","8,460","10,532","9,742","5,620","58,993","44,275","5,136","5,313","7,376","9,615","9,623","7,212","117,812","90,969","11,666","11,099","15,792","20,093","19,434","12,885","58,911","46,768","6,572","5,816","8,426","10,511","9,779","5,664","58,901","44,201","5,094","5,283","7,366","9,582","9,655","7,221","117,696","90,924","11,594","11,097","15,741","20,035","19,553","12,904","58,862","46,755","6,526","5,844","8,379","10,493","9,833","5,680","58,834","44,169","5,068","5,253","7,362","9,542","9,720","7,224","117,520","90,832","11,550","11,043","15,692","19,978","19,591","12,978","58,763","46,696","6,485","5,825","8,354","10,462","9,846","5,724","58,757","44,136","5,065","5,218","7,338","9,516","9,745","7,254"
"충청남도 계룡시 (4425000000)","42,648","30,850","4,871","4,683","8,474","6,781","4,090","1,951","21,211","15,386","2,714","2,292","4,107","3,413","1,985","875","21,437","15,464","2,157","2,391","4,367","3,368","2,105","1,076","42,663","30,870","4,867","4,710","8,432","6,797","4,119","1,945","21,221","15,398","2,715","2,313","4,083","3,420","1,994","873","21,442","15,472","2,152","2,397","4,349","3,377","2,125","1,072","42,757","30,982","4,879","4,712","8,453","6,838","4,153","1,947","21,294","15,478","2,729","2,319","4,097","3,447","2,015","871","21,463","15,504","2,150","2,393","4,356","3,391","2,138","1,076","42,696","30,956","4,846","4,701","8,436","6,850","4,166","1,957","21,272","15,463","2,710","2,316","4,087","3,454","2,017","879","21,424","15,493","2,136","2,385","4,349","3,396","2,149","1,078","42,803","31,082","4,852","4,724","8,446","6,871","4,206","1,983","21,319","15,515","2,708","2,330","4,096","3,466","2,030","885","21,484","15,567","2,144","2,394","4,350","3,405","2,176","1,098","42,772","31,095","4,859","4,691","8,442","6,876","4,234","1,993","21,306","15,537","2,724","2,318","4,096","3,469","2,043","887","21,466","15,558","2,135","2,373","4,346","3,407","2,191","1,106"
