"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_남_총인구수","2020년01월_남_연령구간인구수","2020년01월_남_20~29세","2020년01월_남_30~39세","2020년01월_남_40~49세","2020년01월_남_50~59세","2020년01월_남_60~69세","2020년01월_남_70~79세","2020년01월_여_총인구수","2020년01월_여_연령구간인구수","2020년01월_여_20~29세","2020년01월_여_30~39세","2020년01월_여_40~49세","2020년01월_여_50~59세","2020년01월_여_60~69세","2020년01월_여_70~79세"
"세종특별자치시  (3600000000)","342,328","246,698","36,452","61,447","65,109","42,665","27,467","13,558","170,729","123,741","18,418","29,982","33,502","22,062","13,626","6,151","171,599","122,957","18,034","31,465","31,607","20,603","13,841","7,407"
"세종특별자치시 세종특별자치시 (3611000000)","342,328","246,698","36,452","61,447","65,109","42,665","27,467","13,558","170,729","123,741","18,418","29,982","33,502","22,062","13,626","6,151","171,599","122,957","18,034","31,465","31,607","20,603","13,841","7,407"
