"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대화동064",1,대전광역시 대덕구 대화6길 25,,36.36540989,127.41659280,,,042-120,대전광역시,2022-12-15
"대화동065",1,대전광역시 대덕구 대화15길 102,,36.36521018,127.41701070,,,042-120,대전광역시,2022-12-15
"대화동067",1,대전광역시 대덕구 대화10길 31,,36.36469189,127.41678510,,,042-120,대전광역시,2022-12-15
"대화동069",1,대전광역시 대덕구 대화10길 29,,36.36459497,127.41666870,,,042-120,대전광역시,2022-12-15
"대화동070",1,대전광역시 대덕구 대화1길 53,,36.36418264,127.41706760,,,042-120,대전광역시,2022-12-15
"대화동073",1,대전광역시 대덕구 대화15길 23,,36.36376337,127.41739080,,,042-120,대전광역시,2022-12-15
"대화동074",1,대전광역시 대덕구 대화1길 43,,36.36454200,127.41635200,,,042-120,대전광역시,2022-12-15
"대화동075",1,대전광역시 대덕구 대화7길 17,,36.36484184,127.41616640,,,042-120,대전광역시,2022-12-15
"대화동076",1,대전광역시 대덕구 대화7길 15,,36.36474762,127.41630850,,,042-120,대전광역시,2022-12-15
"대화동077",1,대전광역시 대덕구 대화7길 31,,36.36496761,127.41627850,,,042-120,대전광역시,2022-12-15
"대화동078",1,대전광역시 대덕구 대화7길 41,,36.36514427,127.41627050,,,042-120,대전광역시,2022-12-15
"대화동079",1,대전광역시 대덕구 대화8길 2,,36.36510525,127.41608760,,,042-120,대전광역시,2022-12-15
"대화동080",1,대전광역시 대덕구 대화9길 30,,36.36566455,127.41592560,,,042-120,대전광역시,2022-12-15
"대화동081",1,대전광역시 대덕구 대화13길 36,,36.36559203,127.41604560,,,042-120,대전광역시,2022-12-15
"대화동082",1,대전광역시 대덕구 대화9길 24,,36.36580427,127.41617150,,,042-120,대전광역시,2022-12-15
"대화동083",1,대전광역시 대덕구 대화8길 6,,36.36526683,127.41627120,,,042-120,대전광역시,2022-12-15
"대화동084",1,대전광역시 대덕구 대화7길 8,,36.36523024,127.41642700,,,042-120,대전광역시,2022-12-15
